cs_chr	cs_start	cs_end	Paragon_v3_tgt_chr	Paragon_v3_tgt_start	Paragon_v3_tgt_end	n_anchors	mean_identity
Chr3B	74037	6805777	Chr3B	60099	6984521	108	0.9912314814814814
Chr3B	10012714	35821190	Chr3B	9544543	37023552	345	0.9908579710144928
Chr3B	38137652	97070979	Chr3B	39119801	101446830	542	0.993629151291513
Chr3B	99457041	202823600	Chr3B	103806528	208656454	579	0.9958773747841106
Chr3B	205225044	206704475	Chr3B	211135465	212669286	11	0.9984545454545454
Chr3B	209383926	219278363	Chr3B	215489060	225441756	78	0.9957820512820512
Chr3B	223825022	226529934	Chr3B	230260868	232760792	11	0.9939090909090912
Chr3B	230843333	241641396	Chr3B	235988545	249190932	50	0.9926200000000002
Chr3B	247259756	288293953	Chr3B	254645540	296524212	197	0.9952131979695432
Chr3B	295003050	296080909	Chr3B	303337161	304445763	4	0.9985
Chr3B	303571170	307711148	Chr3B	310608152	315238720	4	0.9965
Chr3B	310640808	322569052	Chr3B	318675965	331756125	16	0.996625
Chr3B	325241568	329207761	Chr3B	334637777	339166492	5	0.9974
Chr3B	333847811	350060262	Chr3B	343807384	361041255	24	0.9940416666666666
Chr3B	352247049	375781155	Chr3B	363229566	392711044	44	0.9963863636363636
Chr3B	378145074	416556469	Chr3B	395035501	434516913	158	0.996012658227848
Chr3B	418922290	480164325	Chr3B	434755555	498078134	361	0.9963185595567868
Chr3B	482733323	529649040	Chr3B	500642656	547413063	266	0.997251879699248
Chr3B	534144519	851872904	Chr3B	552240173	872845394	2644	0.9953460665658092
