cs_chr	cs_start	cs_end	Paragon_v3_tgt_chr	Paragon_v3_tgt_start	Paragon_v3_tgt_end	n_anchors	mean_identity
Chr7A	150446304	160980203	Chr7A	170244443	181397359	78	0.9952564102564102
Chr7A	166406865	177718876	Chr7A	154467574	165460165	97	0.9952989690721649
Chr7A	239033	74955432	Chr7A	245804	76437271	908	0.9935814977973568
Chr7A	77011021	149795904	Chr7A	78912343	153750998	685	0.9953547445255474
Chr7A	161151185	166120232	Chr7A	165726963	170072307	30	0.9903
Chr7A	176812931	316231457	Chr7A	181848079	321430527	693	0.9976940836940836
Chr7A	318780197	364830171	Chr7A	323916493	370531782	84	0.9994761904761905
Chr7A	367537951	379239272	Chr7A	375036953	386645391	14	0.9999285714285715
Chr7A	381291784	393376082	Chr7A	388685347	402569053	23	0.999695652173913
Chr7A	396497557	632839019	Chr7A	405689894	644394568	1317	0.9968694001518602
Chr7A	634937911	744483656	Chr7A	644870356	759349862	1217	0.9944387838948233
