cs_chr	cs_start	cs_end	Paragon_v3_tgt_chr	Paragon_v3_tgt_start	Paragon_v3_tgt_end	n_anchors	mean_identity
Chr1B	315222207	319385490	Chr1B	331462840	335779993	11	0.9957272727272727
Chr1B	170123	31339892	Chr1B	180457	32935261	398	0.9901155778894472
Chr1B	34045861	38402288	Chr1B	34370928	39683258	29	0.9936206896551724
Chr1B	40611674	81974218	Chr1B	40906332	83429255	296	0.9953006756756758
Chr1B	86500196	91210816	Chr1B	88438166	94358318	17	0.9900588235294118
Chr1B	93460686	224268457	Chr1B	96565446	228949764	585	0.9982632478632479
Chr1B	226868456	237708948	Chr1B	231555591	242479372	15	0.9998666666666666
Chr1B	240313663	244692138	Chr1B	245076894	249261653	7	0.9987142857142857
Chr1B	247258191	249142619	Chr1B	255598279	257476705	5	0.9991999999999999
Chr1B	251958660	265870167	Chr1B	263773859	278326621	24	0.9985416666666668
Chr1B	267904398	272283175	Chr1B	280353053	284754815	25	0.99956
Chr1B	274419536	296088628	Chr1B	286877792	308496125	79	0.9993417721518987
Chr1B	298738700	298817103	Chr1B	311084530	311162798	5	0.9945999999999999
Chr1B	301350787	315804006	Chr1B	313621985	331737543	54	0.9866296296296296
Chr1B	320877714	321051730	Chr1B	337200270	337379026	3	0.9906666666666667
Chr1B	328166615	501204253	Chr1B	341979286	516446171	1030	0.9961543689320388
Chr1B	505907163	511698610	Chr1B	520506235	527590706	25	0.99484
Chr1B	515593272	691844083	Chr1B	532233874	708838246	1600	0.9935775
Chr1B	501520247	505674694	Chr1B	527823259	532029722	26	0.9984615384615385
Chr1B	512383933	515183176	Chr1B	516959064	519821293	21	0.988047619047619
