cs_chr	cs_start	cs_end	Paragon_v3_tgt_chr	Paragon_v3_tgt_start	Paragon_v3_tgt_end	n_anchors	mean_identity
Chr3D	111986	21019663	Chr3D	881426	24161846	400	0.9906050000000001
Chr3D	21214157	116955327	Chr3D	28251769	135136037	965	0.9995243523316063
Chr3D	119094314	145655212	Chr3D	137241157	163811171	160	0.99966875
Chr3D	147725835	194192900	Chr3D	165906064	212978457	262	0.9996259541984734
Chr3D	197544325	200969144	Chr3D	216334629	219754887	5	0.999
Chr3D	203187169	203224239	Chr3D	222272847	222308896	4	0.99975
Chr3D	207531742	214535149	Chr3D	226606945	233587258	11	0.9998181818181819
Chr3D	216957444	220088873	Chr3D	235998469	239110480	6	1.0
Chr3D	226016244	232933791	Chr3D	245244806	252147137	13	0.9998461538461539
Chr3D	235055553	258632836	Chr3D	254261268	277782048	42	0.9997142857142859
Chr3D	260879965	492833467	Chr3D	280025862	511380226	1667	0.9993353329334134
Chr3D	495347019	619489515	Chr3D	514352491	636956291	1600	0.998291875
