cs_chr	cs_start	cs_end	Paragon_v3_tgt_chr	Paragon_v3_tgt_start	Paragon_v3_tgt_end	n_anchors	mean_identity
Chr1A	55218	161541694	Chr1A	51566	160703247	1194	0.9958475711892797
Chr1A	163678239	179426534	Chr1A	162875356	178611697	31	0.9994516129032258
Chr1A	181647298	184244993	Chr1A	180960933	183535156	5	0.9996
Chr1A	187212146	195578524	Chr1A	186502404	194867301	11	0.999909090909091
Chr1A	202719482	204217307	Chr1A	202037963	203532374	5	0.9987999999999999
Chr1A	206439950	211446295	Chr1A	205731748	210715235	8	0.999125
Chr1A	214015968	411777219	Chr1A	213228730	413113899	916	0.995890829694323
Chr1A	414061309	422384517	Chr1A	415470340	424186381	22	0.9960909090909091
Chr1A	425019660	549266979	Chr1A	425995605	549370729	1241	0.9954762288477035
Chr1A	559851908	564520690	Chr1A	560697050	565232516	62	0.994
Chr1A	575760323	598556974	Chr1A	576333611	599105662	317	0.995006309148265
Chr1A	549620859	559538843	Chr1A	565568388	576050492	171	0.9953391812865495
