cs_chr	cs_start	cs_end	Paragon_v3_tgt_chr	Paragon_v3_tgt_start	Paragon_v3_tgt_end	n_anchors	mean_identity
Chr2A	315420835	319393694	Chr2A	309927108	314989853	5	0.999
Chr2A	322290657	328918706	Chr2A	300409528	307043766	12	0.9996666666666667
Chr2A	294194784	298305444	Chr2A	332029897	336144710	6	0.9991666666666666
Chr2A	301588230	309677437	Chr2A	320696756	328749586	9	0.9998888888888889
Chr2A	339929405	342646626	Chr2A	337654627	340369461	26	0.9997692307692309
Chr2A	254644	245450318	Chr2A	266165	250395204	2126	0.9954421448730011
Chr2A	253743190	256655987	Chr2A	258684954	261577593	6	0.9996666666666667
Chr2A	260439994	262863052	Chr2A	265364122	267809113	8	0.9998750000000001
Chr2A	265047681	267066623	Chr2A	269986113	271999698	7	0.9997142857142858
Chr2A	269745498	277781081	Chr2A	274649739	283085481	16	0.9991875
Chr2A	279829079	286214975	Chr2A	285113469	291468311	23	0.999608695652174
Chr2A	288400047	290885926	Chr2A	293636161	296120436	5	0.999
Chr2A	335357629	339528195	Chr2A	340770482	344924552	9	0.9996666666666667
Chr2A	344692562	366697851	Chr2A	352810523	375203475	34	0.9997058823529412
Chr2A	368718225	399870506	Chr2A	377193800	407677418	101	0.9968217821782178
Chr2A	404353227	404860525	Chr2A	412170638	412649139	4	0.99525
Chr2A	409607272	490304153	Chr2A	417391573	498387138	272	0.9971948529411764
Chr2A	492634434	551591979	Chr2A	500695142	559280151	315	0.9966476190476191
Chr2A	553651491	787142100	Chr2A	561340662	795307089	2482	0.9951579371474617
