gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Paragon_v3_tgt_chr	Paragon_v3_tgt_start	Paragon_v3_tgt_end	Paragon_v3_tgt_strand	Paragon_v3_tgt_midpoint	Paragon_v3_coverage	Paragon_v3_identity
gene:TraesCS1D03G0000100	Chr1D	20638	21773	+	21205	Chr1D	100380	101515	+	100947	1.0	1.0
gene:TraesCS1D03G0000300	Chr1D	29025	30863	+	29944	Chr1D	108767	110605	+	109686	1.0	1.0
gene:TraesCS1D03G0000400	Chr1D	31231	35151	-	33191	Chr1D	110973	114893	-	112933	1.0	1.0
gene:TraesCS1D03G0000500	Chr1D	35595	39094	-	37344	Chr1D	115337	118840	-	117088	1.0	0.997
gene:TraesCS1D03G0000600	Chr1D	42073	49239	+	45656	Chr1D	121819	128983	+	125401	1.0	1.0
gene:TraesCS1D03G0000800	Chr1D	55880	57669	+	56774	Chr1D	135629	137418	+	136523	1.0	1.0
gene:TraesCS1D03G0001000	Chr1D	62405	66535	+	64470	Chr1D	142162	146292	+	144227	1.0	1.0
gene:TraesCS1D03G0001100	Chr1D	66949	69971	-	68460	Chr1D	146706	149728	-	148217	1.0	1.0
gene:TraesCS1D03G0001300	Chr1D	73080	76040	-	74560	Chr1D	152837	155796	-	154316	1.0	1.0
gene:TraesCS1D03G0001400	Chr1D	78627	81289	-	79958	Chr1D	158383	161045	-	159714	1.0	1.0
gene:TraesCS1D03G0001500	Chr1D	92853	98829	-	95841	Chr1D	172641	178617	-	175629	1.0	1.0
gene:TraesCS1D03G0001600	Chr1D	117511	120788	+	119149	Chr1D	197317	200594	+	198955	1.0	1.0
gene:TraesCS1D03G0001800	Chr1D	171475	183229	-	177352	Chr1D	251319	263097	-	257208	1.0	0.999
gene:TraesCS1D03G0002300	Chr1D	387049	399494	-	393271	Chr1D	466309	478793	-	472551	1.0	0.998
gene:TraesCS1D03G0002400	Chr1D	409650	411707	-	410678	Chr1D	488948	491005	-	489976	1.0	1.0
gene:TraesCS1D03G0002600	Chr1D	418798	422767	-	420782	Chr1D	498096	502065	-	500080	1.0	1.0
gene:TraesCS1D03G0002800	Chr1D	432621	439371	+	435996	Chr1D	510277	517033	+	513655	1.0	0.988
gene:TraesCS1D03G0002900	Chr1D	444052	448470	-	446261	Chr1D	521522	526011	-	523766	0.999	0.974
gene:TraesCS1D03G0003200	Chr1D	465036	466154	-	465595	Chr1D	575810	576928	-	576369	1.0	0.997
gene:TraesCS1D03G0003300	Chr1D	588197	590502	-	589349	Chr1D	758226	760469	-	759347	0.993	0.978
gene:TraesCS1D03G0003500	Chr1D	670994	672152	+	671573	Chr1D	830422	831582	+	831002	1.0	0.993
gene:TraesCS1D03G0004700	Chr1D	885654	889258	-	887456	Chr1D	1060266	1063860	-	1062063	0.996	0.986
gene:TraesCS1D03G0008200	Chr1D	2648853	2656401	+	2652627	Chr1D	1949481	1957029	+	1953255	1.0	0.999
gene:TraesCS1D03G0008400	Chr1D	2658914	2664872	-	2661893	Chr1D	1959542	1965500	-	1962521	1.0	1.0
gene:TraesCS1D03G0008500	Chr1D	2679004	2685472	+	2682238	Chr1D	1978867	1985334	+	1982100	1.0	1.0
gene:TraesCS1D03G0008600	Chr1D	2718545	2721537	+	2720041	Chr1D	2018187	2021179	+	2019683	1.0	1.0
gene:TraesCS1D03G0008800	Chr1D	2722891	2723820	-	2723355	Chr1D	2022533	2023453	-	2022993	0.985	0.985
gene:TraesCS1D03G0009100	Chr1D	2796340	2799441	-	2797890	Chr1D	2096049	2099150	-	2097599	1.0	1.0
gene:TraesCS1D03G0009200	Chr1D	2803813	2805476	+	2804644	Chr1D	2103156	2104819	+	2103987	1.0	1.0
gene:TraesCS1D03G0009300	Chr1D	2808366	2809991	-	2809178	Chr1D	2107709	2109262	-	2108485	0.953	0.953
gene:TraesCS1D03G0009400	Chr1D	2818068	2821589	-	2819828	Chr1D	2115364	2118885	-	2117124	1.0	0.99
gene:TraesCS1D03G0009500	Chr1D	2850565	2852033	-	2851299	Chr1D	2209294	2210762	-	2210028	1.0	0.997
gene:TraesCS1D03G0009900	Chr1D	2927907	2928881	+	2928394	Chr1D	2263281	2264264	+	2263772	1.0	0.987
gene:TraesCS1D03G0010000	Chr1D	2945825	2946808	+	2946316	Chr1D	2280947	2281930	+	2281438	1.0	0.994
gene:TraesCS1D03G0010400	Chr1D	3008174	3009061	+	3008617	Chr1D	2347433	2348329	+	2347881	1.0	0.988
gene:TraesCS1D03G0010500	Chr1D	3017359	3018255	+	3017807	Chr1D	2356367	2357263	+	2356815	1.0	0.994
