gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Paragon_v3_tgt_chr	Paragon_v3_tgt_start	Paragon_v3_tgt_end	Paragon_v3_tgt_strand	Paragon_v3_tgt_midpoint	Paragon_v3_coverage	Paragon_v3_identity	segment
gene:TraesCS5A03G0001300	Chr5A	1542470	1544254	+	1543362	Chr5A	3114084	3115868	+	3114976	1.0	0.995	collinear
gene:TraesCS5A03G0001700	Chr5A	1703882	1707094	-	1705488	Chr5A	3367681	3370801	-	3369241	0.998	0.993	collinear
gene:TraesCS5A03G0001900	Chr5A	1955095	1955460	-	1955277	Chr5A	3653135	3653500	-	3653317	1.0	0.969	collinear
gene:TraesCS5A03G0002100	Chr5A	2042895	2043377	+	2043136	Chr5A	3733438	3733926	+	3733682	1.0	0.985	collinear
gene:TraesCS5A03G0002500	Chr5A	2059447	2067895	+	2063671	Chr5A	3750619	3759063	+	3754841	0.994	0.992	collinear
gene:TraesCS5A03G0002900	Chr5A	2082542	2082888	+	2082715	Chr5A	3779555	3779901	+	3779728	1.0	0.991	collinear
gene:TraesCS5A03G0003200	Chr5A	2225824	2226003	+	2225913	Chr5A	3855258	3855437	+	3855347	1.0	1.0	collinear
gene:TraesCS5A03G0003300	Chr5A	2269703	2270692	-	2270197	Chr5A	3885345	3886335	-	3885840	1.0	0.998	collinear
gene:TraesCS5A03G0003900	Chr5A	2671848	2673352	-	2672600	Chr5A	4245105	4246538	-	4245821	0.952	0.946	collinear
gene:TraesCS5A03G0004000	Chr5A	2741825	2743021	-	2742423	Chr5A	4303775	4304971	-	4304373	1.0	0.992	collinear
gene:TraesCS5A03G0004500	Chr5A	2854750	2859673	-	2857211	Chr5A	4439506	4444339	-	4441922	0.993	0.957	collinear
gene:TraesCS5A03G0004900	Chr5A	2989002	2993252	-	2991127	Chr5A	4577825	4582172	-	4579998	0.994	0.991	collinear
gene:TraesCS5A03G0005200	Chr5A	3010374	3014596	+	3012485	Chr5A	4591932	4596154	+	4594043	1.0	0.997	collinear
gene:TraesCS5A03G0005300	Chr5A	3015603	3020596	+	3018099	Chr5A	4597161	4602154	+	4599657	1.0	1.0	collinear
gene:TraesCS5A03G0005400	Chr5A	3027435	3033237	-	3030336	Chr5A	4608993	4614797	-	4611895	1.0	1.0	collinear
gene:TraesCS5A03G0005500	Chr5A	3081377	3084416	-	3082896	Chr5A	4662036	4665075	-	4663555	1.0	1.0	collinear
gene:TraesCS5A03G0006300	Chr5A	3306994	3308561	-	3307777	Chr5A	4868293	4869836	-	4869064	0.983	0.974	collinear
gene:TraesCS5A03G0006400	Chr5A	3312509	3313435	+	3312972	Chr5A	4935148	4936074	+	4935611	1.0	0.992	collinear
gene:TraesCS5A03G0006500	Chr5A	3315802	3317881	-	3316841	Chr5A	4938284	4940302	-	4939293	0.992	0.991	collinear
gene:TraesCS5A03G0006600	Chr5A	3318157	3321929	-	3320043	Chr5A	4940578	4944364	-	4942471	0.991	0.972	collinear
gene:TraesCS5A03G0006700	Chr5A	3323908	3324402	+	3324155	Chr5A	4946333	4946827	+	4946580	1.0	0.997	collinear
gene:TraesCS5A03G0006800	Chr5A	3330540	3332847	+	3331693	Chr5A	4950257	4952560	+	4951408	1.0	0.999	collinear
gene:TraesCS5A03G0007000	Chr5A	3335666	3337315	-	3336490	Chr5A	4955368	4957004	-	4956186	0.992	0.985	collinear
gene:TraesCS5A03G0007500	Chr5A	3522415	3524184	-	3523299	Chr5A	4995428	4997195	-	4996311	0.998	0.988	collinear
gene:TraesCS5A03G0007700	Chr5A	3551523	3556494	-	3554008	Chr5A	5023408	5028379	-	5025893	1.0	1.0	collinear
gene:TraesCS5A03G0007900	Chr5A	3632961	3634579	+	3633770	Chr5A	5104827	5106445	+	5105636	1.0	0.996	collinear
gene:TraesCS5A03G0008000	Chr5A	3769384	3773677	+	3771530	Chr5A	5241211	5245504	+	5243357	1.0	1.0	collinear
gene:TraesCS5A03G0008100	Chr5A	3774296	3777820	-	3776058	Chr5A	5246123	5249661	-	5247892	1.0	1.0	collinear
gene:TraesCS5A03G0008300	Chr5A	3796488	3802877	-	3799682	Chr5A	5268336	5274678	-	5271507	0.986	0.985	collinear
gene:TraesCS5A03G0008900	Chr5A	3992185	3995626	+	3993905	Chr5A	5382380	5385821	+	5384100	1.0	1.0	collinear
gene:TraesCS5A03G0009200	Chr5A	4072714	4080157	+	4076435	Chr5A	5462922	5470365	+	5466643	1.0	1.0	collinear
gene:TraesCS5A03G0009300	Chr5A	4081207	4083626	+	4082416	Chr5A	5471411	5473828	+	5472619	1.0	1.0	collinear
gene:TraesCS5A03G0009400	Chr5A	4100653	4103564	-	4102108	Chr5A	5490884	5493793	-	5492338	1.0	1.0	collinear
gene:TraesCS5A03G0009500	Chr5A	4120412	4124180	-	4122296	Chr5A	5510645	5514413	-	5512529	1.0	1.0	collinear
gene:TraesCS5A03G0009700	Chr5A	4186460	4199135	+	4192797	Chr5A	5603343	5616018	+	5609680	1.0	1.0	collinear
gene:TraesCS5A03G0009900	Chr5A	4216771	4219824	+	4218297	Chr5A	5633654	5636707	+	5635180	1.0	1.0	collinear
gene:TraesCS5A03G0010100	Chr5A	4264649	4265629	-	4265139	Chr5A	5681580	5682560	-	5682070	1.0	0.998	collinear
gene:TraesCS5A03G0010300	Chr5A	4274826	4278699	-	4276762	Chr5A	5691595	5695512	-	5693553	1.0	0.969	collinear
gene:TraesCS5A03G0010400	Chr5A	4289135	4289901	+	4289518	Chr5A	5705018	5705784	+	5705401	1.0	0.988	collinear
gene:TraesCS5A03G0010500	Chr5A	4295044	4309997	+	4302520	Chr5A	5709552	5724467	+	5717009	1.0	0.997	collinear
gene:TraesCS5A03G0010600	Chr5A	4314200	4318047	-	4316123	Chr5A	5743592	5747460	-	5745526	1.0	0.993	collinear
gene:TraesCS5A03G0010800	Chr5A	4324864	4327830	-	4326347	Chr5A	5756281	5759247	-	5757764	1.0	1.0	collinear
gene:TraesCS5A03G0010900	Chr5A	4334824	4335825	-	4335324	Chr5A	5766241	5767242	-	5766741	1.0	1.0	collinear
gene:TraesCS5A03G0011000	Chr5A	4338873	4349382	+	4344127	Chr5A	5770312	5780823	+	5775567	1.0	1.0	collinear
gene:TraesCS5A03G0011200	Chr5A	4407568	4419230	+	4413399	Chr5A	5839009	5850671	+	5844840	1.0	1.0	collinear
gene:TraesCS5A03G0011300	Chr5A	4421557	4424972	+	4423264	Chr5A	5852998	5856413	+	5854705	1.0	1.0	collinear
gene:TraesCS5A03G0011400	Chr5A	4427274	4431603	+	4429438	Chr5A	5858340	5862669	+	5860504	1.0	1.0	collinear
gene:TraesCS5A03G0011500	Chr5A	4458508	4461918	+	4460213	Chr5A	5889576	5892986	+	5891281	1.0	1.0	collinear
gene:TraesCS5A03G0012100	Chr5A	4601170	4603965	+	4602567	Chr5A	6025031	6027826	+	6026428	1.0	0.998	collinear
gene:TraesCS5A03G0013200	Chr5A	4919883	4925344	+	4922613	Chr5A	6350172	6355628	+	6352900	1.0	0.993	collinear
gene:TraesCS5A03G0013300	Chr5A	4930158	4933157	-	4931657	Chr5A	6360444	6362554	-	6361499	1.0	0.993	collinear
gene:TraesCS5A03G0013900	Chr5A	4955513	4957493	+	4956503	Chr5A	6385214	6387195	+	6386204	1.0	0.992	collinear
gene:TraesCS5A03G0014100	Chr5A	4985496	4986139	-	4985817	Chr5A	6398843	6399486	-	6399164	1.0	0.981	collinear
gene:TraesCS5A03G0015400	Chr5A	5201460	5203706	+	5202583	Chr5A	6605546	6607792	+	6606669	1.0	1.0	collinear
gene:TraesCS5A03G0015700	Chr5A	5513746	5517685	+	5515715	Chr5A	6917561	6921500	+	6919530	1.0	1.0	collinear
gene:TraesCS5A03G0016200	Chr5A	5595617	5601458	+	5598537	Chr5A	6991590	6997443	+	6994516	1.0	1.0	collinear
gene:TraesCS5A03G0017300	Chr5A	5963526	5964147	-	5963836	Chr5A	7152946	7153567	-	7153256	1.0	1.0	collinear
gene:TraesCS5A03G0017400	Chr5A	5969124	5969789	-	5969456	Chr5A	7158538	7159203	-	7158870	1.0	1.0	collinear
gene:TraesCS5A03G0017500	Chr5A	6014157	6019058	-	6016607	Chr5A	7203575	7208442	-	7206008	0.987	0.986	collinear
gene:TraesCS5A03G0017800	Chr5A	6121420	6125041	-	6123230	Chr5A	7328827	7332451	-	7330639	1.0	0.993	collinear
gene:TraesCS5A03G0018600	Chr5A	6449947	6462537	+	6456242	Chr5A	7728729	7741317	+	7735023	1.0	0.997	collinear
gene:TraesCS5A03G0018900	Chr5A	6859842	6878845	+	6869343	Chr5A	8132161	8151568	+	8141864	1.0	0.997	collinear
gene:TraesCS5A03G0019200	Chr5A	7127244	7130490	-	7128867	Chr5A	8384703	8387970	-	8386336	1.0	0.988	collinear
gene:TraesCS5A03G0019300	Chr5A	7146913	7157001	+	7151957	Chr5A	8404395	8414589	+	8409492	0.993	0.968	collinear
gene:TraesCS5A03G0019500	Chr5A	7302024	7303817	+	7302920	Chr5A	8603801	8605594	+	8604697	1.0	0.995	collinear
gene:TraesCS5A03G0019600	Chr5A	7304442	7323297	+	7313869	Chr5A	8606219	8619912	+	8613065	0.997	0.995	collinear
gene:TraesCS5A03G0020600	Chr5A	7409534	7412849	+	7411191	Chr5A	8754984	8758245	+	8756614	0.964	0.954	collinear
gene:TraesCS5A03G0020700	Chr5A	7443708	7446821	-	7445264	Chr5A	8788426	8791420	-	8789923	1.0	0.995	collinear
gene:TraesCS5A03G0020800	Chr5A	7567427	7569538	+	7568482	Chr5A	8920590	8922701	+	8921645	1.0	0.997	collinear
gene:TraesCS5A03G0020900	Chr5A	7578368	7580621	+	7579494	Chr5A	8931538	8933791	+	8932664	1.0	0.996	collinear
gene:TraesCS5A03G0021000	Chr5A	7595016	7596460	-	7595738	Chr5A	8950352	8951796	-	8951074	1.0	0.991	collinear
gene:TraesCS5A03G0021500	Chr5A	7650808	7656539	-	7653673	Chr5A	8978062	8983520	-	8980791	1.0	1.0	collinear
gene:TraesCS5A03G0021600	Chr5A	7658120	7662278	-	7660199	Chr5A	8985104	8989353	-	8987228	1.0	0.933	collinear
gene:TraesCS5A03G0022400	Chr5A	7789487	7796081	-	7792784	Chr5A	9024795	9031389	-	9028092	1.0	1.0	collinear
gene:TraesCS5A03G0022900	Chr5A	7831211	7831586	+	7831398	Chr5A	9066519	9066894	+	9066706	1.0	1.0	collinear
gene:TraesCS5A03G0023000	Chr5A	7833794	7836326	-	7835060	Chr5A	9069102	9071634	-	9070368	1.0	1.0	collinear
gene:TraesCS5A03G0023200	Chr5A	7837241	7845507	-	7841374	Chr5A	9072549	9080798	-	9076673	1.0	1.0	collinear
gene:TraesCS5A03G0023300	Chr5A	7870862	7882905	-	7876883	Chr5A	9106157	9118213	-	9112185	1.0	1.0	collinear
gene:TraesCS5A03G0023400	Chr5A	7886476	7895065	-	7890770	Chr5A	9121784	9130372	-	9126078	0.999	0.999	collinear
gene:TraesCS5A03G0023800	Chr5A	7940806	7941798	-	7941302	Chr5A	9176076	9177068	-	9176572	1.0	0.988	collinear
gene:TraesCS5A03G0023900	Chr5A	7965573	7966784	-	7966178	Chr5A	9357260	9358461	-	9357860	0.991	0.989	collinear
gene:TraesCS5A03G0024600	Chr5A	8147370	8148388	+	8147879	Chr5A	9530418	9531412	+	9530915	1.0	0.986	collinear
gene:TraesCS5A03G0024900	Chr5A	8268730	8270961	-	8269845	Chr5A	9664645	9666876	-	9665760	1.0	0.994	collinear
gene:TraesCS5A03G0025000	Chr5A	8330560	8331320	+	8330940	Chr5A	9715253	9716015	+	9715634	1.0	0.993	collinear
gene:TraesCS5A03G0025200	Chr5A	8352960	8358898	+	8355929	Chr5A	9745067	9751003	+	9748035	1.0	0.996	collinear
gene:TraesCS5A03G0025300	Chr5A	8522478	8524641	+	8523559	Chr5A	9886585	9888749	+	9887667	1.0	0.999	collinear
gene:TraesCS5A03G0025400	Chr5A	8524711	8528863	-	8526787	Chr5A	9888819	9892971	-	9890895	1.0	0.998	collinear
gene:TraesCS5A03G0025800	Chr5A	8648473	8649403	+	8648938	Chr5A	9945410	9946340	+	9945875	1.0	0.997	collinear
gene:TraesCS5A03G0026000	Chr5A	8656475	8657504	+	8656989	Chr5A	9952998	9954027	+	9953512	1.0	0.997	collinear
gene:TraesCS5A03G0026200	Chr5A	8665908	8667736	-	8666822	Chr5A	9962759	9964587	-	9963673	1.0	0.997	collinear
gene:TraesCS5A03G0026600	Chr5A	8730184	8733043	+	8731613	Chr5A	10026841	10029704	+	10028272	1.0	0.998	collinear
gene:TraesCS5A03G0026700	Chr5A	8778276	8780216	+	8779246	Chr5A	10061060	10063000	+	10062030	1.0	0.996	collinear
gene:TraesCS5A03G0026900	Chr5A	8814105	8814896	-	8814500	Chr5A	10096754	10097545	-	10097149	1.0	0.997	collinear
gene:TraesCS5A03G0027000	Chr5A	8838964	8840127	+	8839545	Chr5A	10121623	10122786	+	10122204	1.0	0.999	collinear
gene:TraesCS5A03G0027900	Chr5A	9677168	9677338	+	9677253	Chr5A	11014003	11014173	+	11014088	1.0	1.0	collinear
gene:TraesCS5A03G0028100	Chr5A	9690224	9692901	+	9691562	Chr5A	11025796	11028467	+	11027131	1.0	0.995	collinear
gene:TraesCS5A03G0028700	Chr5A	9851187	9857576	+	9854381	Chr5A	11195512	11201897	+	11198704	0.998	0.996	collinear
gene:TraesCS5A03G0028800	Chr5A	9858552	9864529	+	9861540	Chr5A	11202915	11208903	+	11205909	1.0	0.997	collinear
gene:TraesCS5A03G0029100	Chr5A	10114295	10114744	+	10114519	Chr5A	11409387	11409836	+	11409611	1.0	0.995	collinear
gene:TraesCS5A03G0029300	Chr5A	10262014	10262538	+	10262276	Chr5A	11577982	11578506	+	11578244	1.0	1.0	collinear
gene:TraesCS5A03G0029400	Chr5A	10265922	10267417	+	10266669	Chr5A	11581856	11583352	+	11582604	1.0	0.996	collinear
