cs_chr	cs_start	cs_end	Paragon_v3_tgt_chr	Paragon_v3_tgt_start	Paragon_v3_tgt_end	n_anchors	mean_identity
Chr6D	43783	27630303	Chr6D	392092	29379731	535	0.999429906542056
Chr6D	32741204	38579793	Chr6D	34433327	42560148	94	0.9995744680851064
Chr6D	41537060	46120294	Chr6D	45523056	50148023	67	0.9992238805970148
Chr6D	49876700	56759409	Chr6D	56974897	64885539	55	0.9986363636363638
Chr6D	64544097	186375773	Chr6D	73351518	195169616	948	0.9992774261603375
Chr6D	188380630	235958205	Chr6D	197149609	243726803	75	0.9998533333333331
Chr6D	238222872	248745870	Chr6D	246199653	256701352	15	0.9994
Chr6D	253451229	261093398	Chr6D	261403858	269030568	12	0.9996666666666668
Chr6D	263489417	302615547	Chr6D	271424991	312261715	144	0.9989930555555556
Chr6D	304859324	436495956	Chr6D	314489446	445962063	1032	0.9996065891472868
Chr6D	439160889	495303957	Chr6D	448620816	506660885	904	0.9953141592920356
