cs_chr	cs_start	cs_end	Paragon_v3_tgt_chr	Paragon_v3_tgt_start	Paragon_v3_tgt_end	n_anchors	mean_identity
Chr4D	410644	141272747	Chr4D	231064	142877873	1404	0.9994586894586894
Chr4D	143939177	159173700	Chr4D	145536085	160756477	18	0.9993333333333332
Chr4D	163710731	183649096	Chr4D	165315517	185802116	27	0.9995555555555556
Chr4D	188969484	192971731	Chr4D	192713213	196700204	6	0.9996666666666666
Chr4D	195239705	198785582	Chr4D	198968853	202506027	7	0.9997142857142858
Chr4D	201663396	212424003	Chr4D	205803370	218929890	27	0.998074074074074
Chr4D	214566503	228344802	Chr4D	221059859	234822446	23	0.9986521739130436
Chr4D	230503918	238850566	Chr4D	237017640	245299075	11	0.9995454545454546
Chr4D	241150325	249170093	Chr4D	247589391	256447504	18	0.999611111111111
Chr4D	251744642	256746015	Chr4D	259018000	264009332	7	0.999
Chr4D	259082246	261473317	Chr4D	266331641	268724083	6	1.0
Chr4D	264155329	268258812	Chr4D	271402774	275477534	7	0.9977142857142856
Chr4D	270831155	284417863	Chr4D	278053741	291604174	19	0.9971052631578948
Chr4D	286726699	329466878	Chr4D	293886048	336817913	223	0.9993318385650224
Chr4D	331779306	375686787	Chr4D	339115376	383128743	303	0.9994257425742576
Chr4D	377775997	410310201	Chr4D	385236749	420956618	234	0.9993504273504276
Chr4D	412602740	514856841	Chr4D	423765738	529991537	1188	0.9990799663299664
