gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Paragon_v3_tgt_chr	Paragon_v3_tgt_start	Paragon_v3_tgt_end	Paragon_v3_tgt_strand	Paragon_v3_tgt_midpoint	Paragon_v3_coverage	Paragon_v3_identity	segment
gene:TraesCS5B03G0002900	Chr5B	2118597	2118959	-	2118778	Chr5B	2444469	2444831	-	2444650	1.0	1.0	rearrangement:Chr5B_block1
gene:TraesCS5B03G0003000	Chr5B	2119731	2120270	+	2120000	Chr5B	2445603	2446142	+	2445872	1.0	1.0	rearrangement:Chr5B_block1
gene:TraesCS5B03G0003200	Chr5B	2256442	2262369	+	2259405	Chr5B	2582326	2588253	+	2585289	1.0	1.0	rearrangement:Chr5B_block1
gene:TraesCS5B03G0003500	Chr5B	2311597	2312335	+	2311966	Chr5B	2637486	2638224	+	2637855	1.0	1.0	rearrangement:Chr5B_block1
gene:TraesCS5B03G0003700	Chr5B	2316821	2328979	+	2322900	Chr5B	2642710	2654869	+	2648789	1.0	1.0	rearrangement:Chr5B_block1
gene:TraesCS5B03G0003800	Chr5B	2702541	2703727	-	2703134	Chr5B	3027331	3028517	-	3027924	1.0	1.0	rearrangement:Chr5B_block1
gene:TraesCS5B03G0003900	Chr5B	2728736	2729284	+	2729010	Chr5B	3053534	3054082	+	3053808	1.0	1.0	rearrangement:Chr5B_block1
gene:TraesCS5B03G0004100	Chr5B	3293517	3295022	-	3294269	Chr5B	3633082	3634587	-	3633834	1.0	1.0	rearrangement:Chr5B_block2
gene:TraesCS5B03G0004200	Chr5B	3371571	3373018	-	3372294	Chr5B	3710298	3711745	-	3711021	1.0	1.0	rearrangement:Chr5B_block2
gene:TraesCS5B03G0004400	Chr5B	3564118	3565596	+	3564857	Chr5B	3902490	3903968	+	3903229	1.0	1.0	rearrangement:Chr5B_block2
gene:TraesCS5B03G0004500	Chr5B	3593228	3597197	-	3595212	Chr5B	3931273	3935242	-	3933257	1.0	1.0	rearrangement:Chr5B_block2
gene:TraesCS5B03G0004600	Chr5B	3603885	3607681	+	3605783	Chr5B	3941931	3945729	+	3943830	1.0	1.0	rearrangement:Chr5B_block2
gene:TraesCS5B03G0004700	Chr5B	3614607	3619532	+	3617069	Chr5B	3952655	3957409	+	3955032	1.0	1.0	rearrangement:Chr5B_block2
gene:TraesCS5B03G0004800	Chr5B	4221282	4227412	-	4224347	Chr5B	5321523	5327656	-	5324589	1.0	1.0	rearrangement:Chr5B_block3
gene:TraesCS5B03G0005300	Chr5B	4269528	4272513	-	4271020	Chr5B	5369774	5372759	-	5371266	1.0	1.0	rearrangement:Chr5B_block3
