cs_chr	cs_start	cs_end	Paragon_v3_tgt_chr	Paragon_v3_tgt_start	Paragon_v3_tgt_end	n_anchors	mean_identity
Chr7B	308002245	310543057	Chr7B	301792407	304324121	5	0.9994
Chr7B	311571913	321770729	Chr7B	319121042	328895401	19	0.9998421052631581
Chr7B	324796789	326779654	Chr7B	316392206	318268234	5	0.9996
Chr7B	343118388	344172727	Chr7B	371678936	372718503	5	0.9975999999999999
Chr7B	34602	183070778	Chr7B	43465	183358461	1354	0.9964224519940915
Chr7B	185568431	270327906	Chr7B	185807544	269867249	378	0.9983095238095238
Chr7B	273037918	293144785	Chr7B	271437103	291895449	30	0.9983000000000001
Chr7B	295582888	307151178	Chr7B	294314446	309051416	19	0.9997368421052633
Chr7B	327149605	342648507	Chr7B	329979491	345643109	33	0.9998181818181818
Chr7B	362128535	366185542	Chr7B	363890591	367925156	7	1.0
Chr7B	368970531	393308791	Chr7B	373009579	398198423	123	0.9986504065040651
Chr7B	396179589	410599513	Chr7B	401063209	414486811	51	0.9997843137254903
Chr7B	413179671	423778078	Chr7B	417062469	427577608	45	0.9992
Chr7B	425791676	545780843	Chr7B	429559065	550754825	783	0.9993575989782886
Chr7B	547795684	756980467	Chr7B	552750770	764428554	1585	0.9945205047318613
Chr7B	761472082	763842288	Chr7B	764931405	767860785	26	0.9646538461538463
Chr7B	679329826	679703918	Chr7B	676533698	676925732	6	0.9996666666666667
