cs_chr	cs_start	cs_end	Paragon_v3_tgt_chr	Paragon_v3_tgt_start	Paragon_v3_tgt_end	n_anchors	mean_identity
Chr4A	81328	52597423	Chr4A	536429	52907588	565	0.9970000000000001
Chr4A	58091747	63838542	Chr4A	57437818	63207343	57	0.994280701754386
Chr4A	70786719	76394488	Chr4A	70005939	75629081	43	0.9938139534883721
Chr4A	81244931	130332624	Chr4A	81743151	130720793	279	0.9954301075268818
Chr4A	132517055	192330869	Chr4A	132768720	192363729	261	0.9985478927203064
Chr4A	194997349	219652885	Chr4A	195038981	219633635	45	0.9993777777777778
Chr4A	221731546	222175913	Chr4A	221711926	222173218	3	1.0
Chr4A	224910983	226677182	Chr4A	224894932	226660884	4	1.0
Chr4A	229114346	242431315	Chr4A	229085425	242487113	21	0.999952380952381
Chr4A	328283933	333487928	Chr4A	326854126	331982823	6	0.9994999999999999
Chr4A	337968373	349413639	Chr4A	336450921	347769324	23	0.9998260869565219
Chr4A	351426691	353020297	Chr4A	349905154	351498911	4	1.0
Chr4A	355676988	358739297	Chr4A	354159395	357184281	6	0.9971666666666668
Chr4A	361169426	364704441	Chr4A	359614718	363170700	5	0.9998000000000001
Chr4A	372955440	386206032	Chr4A	373039631	386257441	15	0.9996666666666667
Chr4A	388345576	389986218	Chr4A	388374766	389999900	3	1.0
Chr4A	394095303	397542408	Chr4A	394105907	397548941	6	1.0
Chr4A	399782828	400323386	Chr4A	399778460	400329577	3	0.999
Chr4A	406605144	419576751	Chr4A	406575945	419452412	17	0.999235294117647
Chr4A	421807811	507495678	Chr4A	421680578	506977301	417	0.9982158273381295
Chr4A	509609425	641040255	Chr4A	509088055	644408791	1484	0.9975990566037736
Chr4A	664152825	669280860	Chr4A	663367814	669641564	49	0.9911020408163264
Chr4A	688562054	691306039	Chr4A	693612502	696024030	16	0.9995625
Chr4A	705536953	708769921	Chr4A	711202975	714010694	34	0.987
Chr4A	712582801	718007660	Chr4A	714221922	723570156	55	0.9764363636363638
Chr4A	724142532	725368533	Chr4A	729698610	731148254	9	0.9750000000000001
Chr4A	728493300	728951439	Chr4A	734349992	734851813	3	0.991
Chr4A	745776589	749989143	Chr4A	750613739	755864379	18	0.9462777777777779
Chr4A	753916607	754177262	Chr4A	759488589	759965912	7	0.9532857142857144
