gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Renan_v2_tgt_chr	Renan_v2_tgt_start	Renan_v2_tgt_end	Renan_v2_tgt_strand	Renan_v2_tgt_midpoint	Renan_v2_coverage	Renan_v2_identity	segment
gene:TraesCS2D03G0059300	Chr2D	12908431	12912890	+	12910660	Chr2D	17677749	17682206	+	17679977	0.994	0.98	collinear
gene:TraesCS2D03G0059400	Chr2D	12913549	12918914	+	12916231	Chr2D	17687862	17693221	+	17690541	1.0	0.993	collinear
gene:TraesCS2D03G0059500	Chr2D	12919251	12922016	-	12920633	Chr2D	17693556	17696303	-	17694929	0.969	0.966	collinear
gene:TraesCS2D03G0059600	Chr2D	12946784	12961000	-	12953892	Chr2D	17720924	17722523	-	17721723	1.0	1.0	collinear
gene:TraesCS2D03G0060100	Chr2D	12963965	12964654	-	12964309	Chr2D	17725487	17726176	-	17725831	1.0	0.991	collinear
gene:TraesCS2D03G0060200	Chr2D	12969570	12970605	+	12970087	Chr2D	17730649	17731684	+	17731166	1.0	0.998	collinear
gene:TraesCS2D03G0060300	Chr2D	12994055	12998062	-	12996058	Chr2D	17753504	17757515	-	17755509	1.0	0.98	collinear
gene:TraesCS2D03G0060400	Chr2D	13006389	13008920	+	13007654	Chr2D	17764110	17766646	+	17765378	1.0	0.987	collinear
gene:TraesCS2D03G0060500	Chr2D	13010280	13010870	-	13010575	Chr2D	17768006	17768596	-	17768301	1.0	1.0	collinear
gene:TraesCS2D03G0060900	Chr2D	13089003	13092394	-	13090698	Chr2D	17855658	17859049	-	17857353	1.0	0.998	collinear
gene:TraesCS2D03G0061000	Chr2D	13092629	13096137	-	13094383	Chr2D	17859318	17862706	-	17861012	0.986	0.951	collinear
gene:TraesCS2D03G0061200	Chr2D	13097847	13099882	+	13098864	Chr2D	17883047	17885049	+	17884048	0.991	0.958	collinear
gene:TraesCS2D03G0061400	Chr2D	13104684	13107863	-	13106273	Chr2D	17889749	17892933	-	17891341	0.997	0.985	collinear
gene:TraesCS2D03G0061700	Chr2D	13126407	13130334	+	13128370	Chr2D	17908373	17912300	+	17910336	1.0	0.987	collinear
gene:TraesCS2D03G0061800	Chr2D	13142275	13145116	-	13143695	Chr2D	17934745	17937573	-	17936159	1.0	0.991	collinear
gene:TraesCS2D03G0063100	Chr2D	13407545	13408884	-	13408214	Chr2D	18217719	18219058	-	18218388	1.0	0.994	collinear
gene:TraesCS2D03G0063700	Chr2D	13435046	13440218	+	13437632	Chr2D	18249581	18254747	+	18252164	0.997	0.984	collinear
gene:TraesCS2D03G0063800	Chr2D	13444850	13445566	+	13445208	Chr2D	18259377	18260093	+	18259735	1.0	0.991	collinear
gene:TraesCS2D03G0065300	Chr2D	13700199	13700840	+	13700519	Chr2D	18504865	18505509	+	18505187	1.0	0.979	collinear
gene:TraesCS2D03G0065400	Chr2D	13720909	13722811	+	13721860	Chr2D	18525828	18527715	+	18526771	0.991	0.963	collinear
gene:TraesCS2D03G0065900	Chr2D	13752058	13758938	-	13755498	Chr2D	18642143	18649017	-	18645580	0.993	0.988	collinear
