cs_chr	cs_start	cs_end	Renan_v2_tgt_chr	Renan_v2_tgt_start	Renan_v2_tgt_end	n_anchors	mean_identity
Chr4A	81328	52597423	Chr4A	479150	52941890	535	0.985773831775701
Chr4A	57142725	62581362	Chr4A	58418181	63909411	46	0.983391304347826
Chr4A	69812361	75225105	Chr4A	70941090	76270866	32	0.98871875
Chr4A	81244931	130332624	Chr4A	81445922	131000171	257	0.9849455252918288
Chr4A	132517055	187302399	Chr4A	133048133	187634122	213	0.988211267605634
Chr4A	189384132	192330869	Chr4A	189738773	192671608	8	0.988125
Chr4A	194997349	212676697	Chr4A	195393940	213013346	30	0.9882
Chr4A	214772934	219652885	Chr4A	215098829	219971337	12	0.9891666666666666
Chr4A	221731546	222175913	Chr4A	222049186	222510326	3	0.986
Chr4A	224910983	226677182	Chr4A	225237400	226997014	4	0.98675
Chr4A	229114346	242431315	Chr4A	229422100	242727166	20	0.9919
Chr4A	328283933	333487928	Chr4A	327650906	332786599	6	0.9893333333333336
Chr4A	337968373	349413639	Chr4A	336992597	348281690	23	0.989695652173913
Chr4A	351426691	353020297	Chr4A	350370781	351964276	4	0.9835
Chr4A	355676988	358739297	Chr4A	354613336	357632586	5	0.99
Chr4A	361169426	364704441	Chr4A	360061513	363619221	5	0.987
Chr4A	372955440	380346021	Chr4A	371793533	379560058	9	0.9824444444444445
Chr4A	382648730	386206032	Chr4A	381874154	385429913	5	0.99
Chr4A	388345576	389986218	Chr4A	387588618	389213584	3	0.984
Chr4A	394095303	395803280	Chr4A	393338121	395036954	3	0.9893333333333332
Chr4A	409388813	419576751	Chr4A	408557049	418590659	15	0.9920666666666668
Chr4A	421807811	507495678	Chr4A	420819660	506161462	375	0.990824
Chr4A	509609425	641040255	Chr4A	508284006	642035958	1390	0.9908712230215828
Chr4A	664313541	669750249	Chr4A	660711801	666412294	50	0.9872
Chr4A	688562054	754177262	Chr4A	687901555	749889542	607	0.986026359143328
