cs_chr	cs_start	cs_end	Renan_v2_tgt_chr	Renan_v2_tgt_start	Renan_v2_tgt_end	n_anchors	mean_identity
Chr3D	111986	116955327	Chr3D	10228	119367618	1353	0.9911056910569104
Chr3D	119094314	145655212	Chr3D	121528393	147565838	133	0.9927894736842106
Chr3D	147725835	193969319	Chr3D	149681336	196318481	243	0.9917860082304528
Chr3D	197544325	200969144	Chr3D	200025739	203472972	5	0.99
Chr3D	207531742	214535149	Chr3D	210570380	217556678	11	0.9975454545454544
Chr3D	216957444	220088873	Chr3D	219967473	223078858	6	0.9898333333333332
Chr3D	226016244	232933791	Chr3D	229169866	236122120	13	0.9906153846153848
Chr3D	235055553	258447736	Chr3D	238226616	262088685	39	0.9943846153846156
Chr3D	264456705	492833467	Chr3D	268106988	497328480	1565	0.9916012779552718
Chr3D	495347019	619489515	Chr3D	501129282	623159984	1490	0.989396644295302
