cs_chr	cs_start	cs_end	Renan_v2_tgt_chr	Renan_v2_tgt_start	Renan_v2_tgt_end	n_anchors	mean_identity
Chr7B	273738848	278167373	Chr7B	278646348	282668142	8	0.992
Chr7B	284591884	286807870	Chr7B	270019686	272227683	7	0.9818571428571429
Chr7B	343118388	344172727	Chr7B	344519439	345558372	5	0.9932000000000001
Chr7B	346526837	349512003	Chr7B	347912663	357682692	5	0.985
Chr7B	352166805	368490167	Chr7B	334767255	355062252	20	0.9877500000000001
Chr7B	34602	36923564	Chr7B	118185	35035270	295	0.9855593220338983
Chr7B	42917585	150607639	Chr7B	35238935	143814015	723	0.9850331950207468
Chr7B	152614504	183070778	Chr7B	145831846	176648306	170	0.9859647058823529
Chr7B	186156096	271798168	Chr7B	179389915	264967778	352	0.9876477272727272
Chr7B	279527272	284329292	Chr7B	272489193	277294232	8	0.989125
Chr7B	295582888	308002245	Chr7B	288072534	301505338	19	0.993578947368421
Chr7B	314498554	321770729	Chr7B	310589777	317802828	12	0.9916666666666666
Chr7B	327149605	342648507	Chr7B	318701165	334288564	31	0.9963870967741935
Chr7B	368970531	393308791	Chr7B	359795357	384015735	112	0.9918928571428571
Chr7B	396179589	410599513	Chr7B	386883655	400915267	49	0.996673469387755
Chr7B	413179671	423778078	Chr7B	403495085	414233816	42	0.9945714285714286
Chr7B	425791676	545780843	Chr7B	416216886	536478278	726	0.9920812672176308
Chr7B	547795684	748646317	Chr7B	538468690	738852321	1327	0.9854385832705351
Chr7B	751898715	758715791	Chr7B	741511545	750726388	69	0.9824202898550723
Chr7B	762086680	762797066	Chr7B	745287080	751939905	12	0.9775833333333334
Chr7B	673602826	674545306	Chr7B	668218805	669149940	9	0.9888888888888889
Chr7B	686343677	687219708	Chr7B	664095053	664239791	4	0.99225
Chr7B	763271954	763873968	Chr7B	744176468	745394626	14	0.9627857142857142
