cs_chr	cs_start	cs_end	Renan_v2_tgt_chr	Renan_v2_tgt_start	Renan_v2_tgt_end	n_anchors	mean_identity
Chr2A	500711	228804365	Chr2A	418185	231293145	1665	0.9832366366366366
Chr2A	231014620	237897856	Chr2A	233551895	240801472	13	0.9834615384615385
Chr2A	260439994	262863052	Chr2A	261420136	263813697	7	0.9892857142857144
Chr2A	283478083	286214975	Chr2A	285703953	288526516	5	0.9969999999999999
Chr2A	288400047	290885926	Chr2A	290779458	293368034	5	0.9924000000000002
Chr2A	293418889	298305444	Chr2A	295934890	300730991	7	0.9872857142857142
Chr2A	304709700	310481732	Chr2A	307578272	313470371	6	0.9900000000000001
Chr2A	313973952	319393694	Chr2A	317286295	323125804	7	0.9865714285714284
Chr2A	322290657	328918706	Chr2A	325965674	332717759	11	0.9908181818181819
Chr2A	333879690	342619818	Chr2A	335965722	346328027	25	0.98576
Chr2A	344692562	366697851	Chr2A	347211337	369644565	33	0.9925454545454545
Chr2A	369774627	370730748	Chr2A	371447884	372438868	4	0.98475
Chr2A	373176288	398918223	Chr2A	374889565	400475795	77	0.9869090909090907
Chr2A	404473682	404860525	Chr2A	401093056	401463981	3	0.9956666666666667
Chr2A	410802338	490304153	Chr2A	407959659	487664769	257	0.9894241245136186
Chr2A	492634434	551591979	Chr2A	489981841	548143865	295	0.9911288135593219
Chr2A	553651491	786894618	Chr2A	550202791	791694113	2304	0.9862643229166667
