gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Renan_v2_tgt_chr	Renan_v2_tgt_start	Renan_v2_tgt_end	Renan_v2_tgt_strand	Renan_v2_tgt_midpoint	Renan_v2_coverage	Renan_v2_identity	segment
gene:TraesCS5A03G0000400	Chr5A	215597	216821	+	216209	Chr5A	140477	141702	+	141089	1.0	1.0	collinear
gene:TraesCS5A03G0000600	Chr5A	292020	292347	-	292183	Chr5A	206679	207006	-	206842	1.0	0.996	collinear
gene:TraesCS5A03G0000800	Chr5A	622810	628759	+	625784	Chr5A	548261	554200	+	551230	0.995	0.99	collinear
gene:TraesCS5A03G0000900	Chr5A	628951	630466	+	629708	Chr5A	554392	555866	+	555129	0.97	0.967	collinear
gene:TraesCS5A03G0001000	Chr5A	637855	638799	+	638327	Chr5A	563284	564338	+	563811	1.0	0.952	collinear
gene:TraesCS5A03G0001300	Chr5A	1542470	1544254	+	1543362	Chr5A	1291691	1293471	+	1292581	0.998	0.992	collinear
gene:TraesCS5A03G0001700	Chr5A	1703882	1707094	-	1705488	Chr5A	1567823	1570940	-	1569381	1.0	0.988	collinear
gene:TraesCS5A03G0001900	Chr5A	1955095	1955460	-	1955277	Chr5A	1866371	1866715	-	1866543	0.942	0.92	collinear
gene:TraesCS5A03G0002100	Chr5A	2042895	2043377	+	2043136	Chr5A	1931478	1931960	+	1931719	1.0	0.997	collinear
gene:TraesCS5A03G0002500	Chr5A	2059447	2067895	+	2063671	Chr5A	1946584	1955041	+	1950812	1.0	0.994	collinear
gene:TraesCS5A03G0002700	Chr5A	2068880	2071814	+	2070347	Chr5A	1958271	1960662	+	1959466	0.991	0.991	collinear
gene:TraesCS5A03G0002900	Chr5A	2082542	2082888	+	2082715	Chr5A	1985280	1985626	+	1985453	1.0	0.964	collinear
gene:TraesCS5A03G0003200	Chr5A	2225824	2226003	+	2225913	Chr5A	2060047	2060226	+	2060136	1.0	0.994	collinear
gene:TraesCS5A03G0003900	Chr5A	2671848	2673352	-	2672600	Chr5A	2436454	2437888	-	2437171	0.953	0.946	collinear
gene:TraesCS5A03G0004000	Chr5A	2741825	2743021	-	2742423	Chr5A	2496731	2497927	-	2497329	0.989	0.948	collinear
gene:TraesCS5A03G0004500	Chr5A	2854750	2859673	-	2857211	Chr5A	2600341	2605144	-	2602742	0.999	0.974	collinear
gene:TraesCS5A03G0004900	Chr5A	2989002	2993252	-	2991127	Chr5A	2739323	2743601	-	2741462	1.0	0.986	collinear
gene:TraesCS5A03G0005200	Chr5A	3010374	3014596	+	3012485	Chr5A	2760376	2764605	+	2762490	0.998	0.99	collinear
gene:TraesCS5A03G0005300	Chr5A	3015603	3020596	+	3018099	Chr5A	2765548	2770497	+	2768022	0.999	0.991	collinear
gene:TraesCS5A03G0005400	Chr5A	3027435	3033237	-	3030336	Chr5A	2776950	2782748	-	2779849	0.994	0.977	collinear
gene:TraesCS5A03G0005500	Chr5A	3081377	3084416	-	3082896	Chr5A	2872620	2875665	-	2874142	1.0	0.991	collinear
gene:TraesCS5A03G0006300	Chr5A	3306994	3308561	-	3307777	Chr5A	3076591	3078146	-	3077368	0.991	0.981	collinear
gene:TraesCS5A03G0006400	Chr5A	3312509	3313435	+	3312972	Chr5A	3143460	3144386	+	3143923	1.0	0.992	collinear
gene:TraesCS5A03G0006500	Chr5A	3315802	3317881	-	3316841	Chr5A	3146753	3148994	-	3147873	1.0	0.992	collinear
gene:TraesCS5A03G0006600	Chr5A	3318157	3321929	-	3320043	Chr5A	3149272	3153041	-	3151156	0.969	0.925	collinear
gene:TraesCS5A03G0006700	Chr5A	3323908	3324402	+	3324155	Chr5A	3155018	3155512	+	3155265	1.0	1.0	collinear
gene:TraesCS5A03G0006800	Chr5A	3330540	3332847	+	3331693	Chr5A	3161648	3163955	+	3162801	1.0	0.955	collinear
gene:TraesCS5A03G0007000	Chr5A	3335666	3337315	-	3336490	Chr5A	3166775	3168424	-	3167599	1.0	0.993	collinear
gene:TraesCS5A03G0007100	Chr5A	3337878	3339413	-	3338645	Chr5A	3168987	3170522	-	3169754	1.0	0.975	collinear
gene:TraesCS5A03G0007500	Chr5A	3522415	3524184	-	3523299	Chr5A	3352897	3354666	-	3353781	1.0	0.987	collinear
gene:TraesCS5A03G0007700	Chr5A	3551523	3556494	-	3554008	Chr5A	3381981	3386951	-	3384466	0.999	0.988	collinear
gene:TraesCS5A03G0007900	Chr5A	3632961	3634579	+	3633770	Chr5A	3469846	3471429	+	3470637	0.971	0.951	collinear
gene:TraesCS5A03G0008100	Chr5A	3774296	3777820	-	3776058	Chr5A	3589573	3593116	-	3591344	1.0	0.993	collinear
gene:TraesCS5A03G0008300	Chr5A	3796488	3802877	-	3799682	Chr5A	3610688	3616954	-	3613821	0.979	0.977	collinear
gene:TraesCS5A03G0008900	Chr5A	3992185	3995626	+	3993905	Chr5A	3718337	3721786	+	3720061	0.999	0.991	collinear
gene:TraesCS5A03G0009200	Chr5A	4072714	4080157	+	4076435	Chr5A	3798514	3805956	+	3802235	1.0	0.992	collinear
gene:TraesCS5A03G0009700	Chr5A	4186460	4199135	+	4192797	Chr5A	3929524	3942156	+	3935840	1.0	0.996	collinear
gene:TraesCS5A03G0009900	Chr5A	4216771	4219824	+	4218297	Chr5A	3959766	3962819	+	3961292	1.0	0.969	collinear
gene:TraesCS5A03G0010100	Chr5A	4264649	4265629	-	4265139	Chr5A	4007615	4008595	-	4008105	1.0	0.998	collinear
gene:TraesCS5A03G0010300	Chr5A	4274826	4278699	-	4276762	Chr5A	4017798	4021671	-	4019734	1.0	0.999	collinear
gene:TraesCS5A03G0010400	Chr5A	4289135	4289901	+	4289518	Chr5A	4032081	4032847	+	4032464	1.0	1.0	collinear
gene:TraesCS5A03G0010500	Chr5A	4295044	4309997	+	4302520	Chr5A	4037991	4052925	+	4045458	1.0	0.989	collinear
gene:TraesCS5A03G0010600	Chr5A	4314200	4318047	-	4316123	Chr5A	4057122	4060940	-	4059031	1.0	0.984	collinear
gene:TraesCS5A03G0010900	Chr5A	4334824	4335825	-	4335324	Chr5A	4147420	4148421	-	4147920	1.0	0.992	collinear
gene:TraesCS5A03G0011000	Chr5A	4338873	4349382	+	4344127	Chr5A	4152126	4162616	+	4157371	1.0	0.991	collinear
gene:TraesCS5A03G0011300	Chr5A	4421557	4424972	+	4423264	Chr5A	4233657	4237075	+	4235366	1.0	0.994	collinear
gene:TraesCS5A03G0011400	Chr5A	4427274	4431603	+	4429438	Chr5A	4238793	4243128	+	4240960	1.0	0.991	collinear
gene:TraesCS5A03G0011500	Chr5A	4458508	4461918	+	4460213	Chr5A	4252926	4256352	+	4254639	1.0	0.991	collinear
