cs_chr	cs_start	cs_end	Renan_v2_tgt_chr	Renan_v2_tgt_start	Renan_v2_tgt_end	n_anchors	mean_identity
Chr6D	43783	27630303	Chr6D	49026	27242770	499	0.9890501002004009
Chr6D	32741204	38579793	Chr6D	32064349	38493928	83	0.9897349397590361
Chr6D	41565255	46120294	Chr6D	41437719	45954374	62	0.9920322580645161
Chr6D	49876700	56608447	Chr6D	49762652	56433814	56	0.9870535714285714
Chr6D	64544097	186375773	Chr6D	59810696	181452617	847	0.9901003541912633
Chr6D	188380630	233080808	Chr6D	183382682	227694597	63	0.9941111111111111
Chr6D	238222872	248745870	Chr6D	231270936	244643913	15	0.9906666666666666
Chr6D	253451229	261093398	Chr6D	249401242	257066768	10	0.9945
Chr6D	263489417	302615547	Chr6D	259464448	298787761	129	0.9895736434108527
Chr6D	304859324	436495956	Chr6D	301014050	433013965	949	0.9902950474183351
Chr6D	439160889	495303957	Chr6D	435679397	493650766	811	0.9846535141800247
