gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Renan_v2_tgt_chr	Renan_v2_tgt_start	Renan_v2_tgt_end	Renan_v2_tgt_strand	Renan_v2_tgt_midpoint	Renan_v2_coverage	Renan_v2_identity
gene:TraesCS5D03G0000500	Chr5D	475881	477308	+	476594	Chr5D	725837	727264	+	726550	1.0	0.979
gene:TraesCS5D03G0000600	Chr5D	504194	504526	-	504360	Chr5D	754154	754486	-	754320	1.0	0.996
gene:TraesCS5D03G0000700	Chr5D	504194	504552	-	504373	Chr5D	754154	754512	-	754333	1.0	0.997
gene:TraesCS5D03G0000900	Chr5D	716462	716794	-	716628	Chr5D	967224	967556	-	967390	1.0	0.996
gene:TraesCS5D03G0001100	Chr5D	763156	767483	-	765319	Chr5D	1013890	1018217	-	1016053	1.0	1.0
gene:TraesCS5D03G0001300	Chr5D	929486	932500	+	930993	Chr5D	117278	120292	+	118785	1.0	1.0
gene:TraesCS5D03G0001500	Chr5D	932731	938642	-	935686	Chr5D	120523	126444	-	123483	1.0	0.997
gene:TraesCS5D03G0001700	Chr5D	1529495	1530538	+	1530016	Chr5D	1778302	1779340	+	1778821	0.988	0.957
gene:TraesCS5D03G0001900	Chr5D	1537103	1539147	-	1538125	Chr5D	1785907	1787879	-	1786893	0.964	0.938
gene:TraesCS5D03G0002100	Chr5D	1605131	1610309	+	1607720	Chr5D	1853719	1858907	+	1856313	1.0	0.999
gene:TraesCS5D03G0002300	Chr5D	1705168	1712206	-	1708687	Chr5D	1953481	1960519	-	1957000	1.0	1.0
gene:TraesCS5D03G0002500	Chr5D	1803394	1806327	+	1804860	Chr5D	2051666	2054598	+	2053132	0.999	0.998
gene:TraesCS5D03G0002700	Chr5D	1866423	1868501	+	1867462	Chr5D	2114620	2116328	+	2115474	1.0	1.0
gene:TraesCS5D03G0002900	Chr5D	1887729	1890428	-	1889078	Chr5D	2134797	2137496	-	2136146	1.0	1.0
gene:TraesCS5D03G0003100	Chr5D	2121153	2121944	+	2121548	Chr5D	2388046	2388837	+	2388441	1.0	1.0
gene:TraesCS5D03G0003200	Chr5D	2135387	2142134	+	2138760	Chr5D	2402268	2409013	+	2405640	1.0	0.999
gene:TraesCS5D03G0003400	Chr5D	2251213	2252857	-	2252035	Chr5D	2518136	2519780	-	2518958	1.0	1.0
gene:TraesCS5D03G0003500	Chr5D	2286363	2288714	+	2287538	Chr5D	2553280	2555633	+	2554456	1.0	0.994
gene:TraesCS5D03G0003600	Chr5D	2291637	2302490	+	2297063	Chr5D	2558556	2569406	+	2563981	1.0	0.986
gene:TraesCS5D03G0003700	Chr5D	2517220	2518242	-	2517731	Chr5D	2782142	2783164	-	2782653	1.0	0.999
gene:TraesCS5D03G0004200	Chr5D	2615885	2618789	+	2617337	Chr5D	2880580	2883484	+	2882032	1.0	0.997
gene:TraesCS5D03G0004700	Chr5D	2665098	2671307	+	2668202	Chr5D	2929884	2936095	+	2932989	1.0	0.998
gene:TraesCS5D03G0004800	Chr5D	2672766	2677982	-	2675374	Chr5D	2937554	2942754	-	2940154	0.991	0.984
gene:TraesCS5D03G0004900	Chr5D	2679349	2683430	-	2681389	Chr5D	2944094	2948168	-	2946131	0.996	0.995
gene:TraesCS5D03G0005100	Chr5D	2688714	2693084	+	2690899	Chr5D	2953450	2957820	+	2955635	1.0	0.992
gene:TraesCS5D03G0005200	Chr5D	2696120	2701036	+	2698578	Chr5D	2960856	2965772	+	2963314	1.0	1.0
gene:TraesCS5D03G0005300	Chr5D	2814456	2815962	+	2815209	Chr5D	3079117	3080634	+	3079875	0.987	0.936
gene:TraesCS5D03G0005400	Chr5D	3027689	3029129	+	3028409	Chr5D	3290561	3292001	+	3291281	1.0	1.0
gene:TraesCS5D03G0005700	Chr5D	3085495	3086987	+	3086241	Chr5D	3348365	3349857	+	3349111	1.0	1.0
gene:TraesCS5D03G0006000	Chr5D	3150676	3151507	+	3151091	Chr5D	3413536	3414366	+	3413951	0.998	0.99
gene:TraesCS5D03G0007100	Chr5D	3285989	3291185	-	3288587	Chr5D	3554706	3559897	-	3557301	1.0	0.993
gene:TraesCS5D03G0007600	Chr5D	3553643	3558815	+	3556229	Chr5D	3822027	3827198	+	3824612	1.0	0.997
gene:TraesCS5D03G0007700	Chr5D	3560879	3562605	-	3561742	Chr5D	3829262	3830988	-	3830125	1.0	1.0
gene:TraesCS5D03G0007800	Chr5D	3566317	3566982	+	3566649	Chr5D	3834701	3835366	+	3835033	1.0	0.995
gene:TraesCS5D03G0007900	Chr5D	3568816	3570710	-	3569763	Chr5D	3837200	3839094	-	3838147	1.0	0.999
