cs_chr	cs_start	cs_end	Renan_v2_tgt_chr	Renan_v2_tgt_start	Renan_v2_tgt_end	n_anchors	mean_identity
Chr6A	119203	165560133	Chr6A	403970	165412721	1285	0.9810303501945524
Chr6A	169123596	174751019	Chr6A	168946505	174457079	26	0.9911538461538462
Chr6A	177010402	237636332	Chr6A	176676976	236726591	180	0.9869499999999998
Chr6A	243810148	244731119	Chr6A	242845535	243683376	3	0.9883333333333332
Chr6A	251103689	255370132	Chr6A	249919092	254183296	8	0.99175
Chr6A	257566273	264313435	Chr6A	256768045	263569250	19	0.9937894736842106
Chr6A	266482395	275860435	Chr6A	265766731	275215818	21	0.9918095238095238
Chr6A	278883582	290338890	Chr6A	278247455	289749792	14	0.9928571428571428
Chr6A	293863739	293889818	Chr6A	292463054	292487260	3	0.99
Chr6A	296966050	301962643	Chr6A	296417969	301402630	6	0.9951666666666666
Chr6A	304604634	307005504	Chr6A	304065929	306486810	3	0.9916666666666668
Chr6A	309403765	319731587	Chr6A	308893549	319454585	12	0.9881666666666667
Chr6A	323819925	326827584	Chr6A	323606157	326668187	8	0.97875
Chr6A	328915123	332571498	Chr6A	328831921	332453655	5	0.9884
Chr6A	337006810	346665213	Chr6A	336781114	346865148	12	0.9908333333333332
Chr6A	349035941	349057392	Chr6A	349278356	349302608	3	0.9913333333333334
Chr6A	357954045	528672379	Chr6A	358167455	529166146	791	0.9919241466498104
Chr6A	531482801	622584375	Chr6A	529198563	620111200	1091	0.9887974335472044
