cs_chr	cs_start	cs_end	Renan_v2_tgt_chr	Renan_v2_tgt_start	Renan_v2_tgt_end	n_anchors	mean_identity
Chr2B	31439	4120709	Chr2B	1869984	7656012	49	0.9774489795918366
Chr2B	6162716	210988464	Chr2B	7697319	210694247	1713	0.9872761237594864
Chr2B	214184446	248272484	Chr2B	211197251	245550122	188	0.987654255319149
Chr2B	250482935	283157104	Chr2B	247760173	280501606	136	0.9888014705882352
Chr2B	285496966	304609294	Chr2B	282824760	309026028	28	0.9858928571428572
Chr2B	307417042	310240678	Chr2B	310681992	313502997	4	0.988
Chr2B	318431746	331681179	Chr2B	315750339	328762412	17	0.995
Chr2B	333809245	346552298	Chr2B	330898301	343804639	20	0.9942
Chr2B	348999066	355740303	Chr2B	346268703	353024377	9	0.995
Chr2B	360072831	361491029	Chr2B	357333244	358153450	3	0.977
Chr2B	365734406	527230910	Chr2B	361704043	525148486	865	0.9915653179190752
Chr2B	529373602	800986278	Chr2B	527272945	797239545	2012	0.9831784294234592
Chr2B	803097628	812719815	Chr2B	798370648	810579255	56	0.9577142857142856
