gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Renan_v2_tgt_chr	Renan_v2_tgt_start	Renan_v2_tgt_end	Renan_v2_tgt_strand	Renan_v2_tgt_midpoint	Renan_v2_coverage	Renan_v2_identity
gene:TraesCS7B03G0000100	Chr7B	32670	36534	-	34602	Chr7B	116261	120109	-	118185	0.999	0.989
gene:TraesCS7B03G0000200	Chr7B	43049	50894	-	46971	Chr7B	126624	134457	-	130540	1.0	0.989
gene:TraesCS7B03G0001000	Chr7B	112378	114411	+	113394	Chr7B	195923	197940	+	196931	0.996	0.994
gene:TraesCS7B03G0001100	Chr7B	114526	119198	-	116862	Chr7B	198055	202698	-	200376	1.0	0.996
gene:TraesCS7B03G0001200	Chr7B	120206	121471	+	120838	Chr7B	203707	204972	+	204339	1.0	0.996
gene:TraesCS7B03G0001400	Chr7B	220254	222718	+	221486	Chr7B	313976	316149	+	315062	1.0	0.968
gene:TraesCS7B03G0001700	Chr7B	226968	228067	+	227517	Chr7B	320402	321501	+	320951	1.0	1.0
gene:TraesCS7B03G0001800	Chr7B	228482	229120	+	228801	Chr7B	321920	322561	+	322240	1.0	0.973
gene:TraesCS7B03G0002100	Chr7B	259041	260824	+	259932	Chr7B	352085	353868	+	352976	1.0	1.0
gene:TraesCS7B03G0002200	Chr7B	261777	263347	+	262562	Chr7B	354821	356416	+	355618	0.983	0.931
gene:TraesCS7B03G0002400	Chr7B	265308	267721	-	266514	Chr7B	358371	360781	-	359576	0.998	0.994
gene:TraesCS7B03G0002500	Chr7B	285039	290255	+	287647	Chr7B	378012	383161	+	380586	1.0	0.999
gene:TraesCS7B03G0002600	Chr7B	419319	423404	+	421361	Chr7B	511908	515934	+	513921	0.987	0.975
gene:TraesCS7B03G0002900	Chr7B	423793	429194	-	426493	Chr7B	516323	521700	-	519011	0.993	0.99
gene:TraesCS7B03G0003100	Chr7B	600800	604303	+	602551	Chr7B	692730	696233	+	694481	1.0	1.0
gene:TraesCS7B03G0003300	Chr7B	637875	639698	+	638786	Chr7B	729799	731616	+	730707	0.997	0.985
gene:TraesCS7B03G0003400	Chr7B	669783	670485	-	670134	Chr7B	762021	762723	-	762372	1.0	1.0
gene:TraesCS7B03G0003900	Chr7B	797978	798910	+	798444	Chr7B	890061	890987	+	890524	0.993	0.982
gene:TraesCS7B03G0005600	Chr7B	1170334	1171762	+	1171048	Chr7B	1022938	1024371	+	1023654	1.0	0.964
gene:TraesCS7B03G0005700	Chr7B	1213141	1218986	-	1216063	Chr7B	1047793	1053625	-	1050709	0.991	0.968
gene:TraesCS7B03G0006000	Chr7B	1264151	1272041	-	1268096	Chr7B	1104459	1112312	-	1108385	0.984	0.963
gene:TraesCS7B03G0006300	Chr7B	1279040	1286019	-	1282529	Chr7B	1119318	1126297	-	1122807	1.0	0.995
gene:TraesCS7B03G0006400	Chr7B	1286695	1293028	-	1289861	Chr7B	1126973	1133306	-	1130139	1.0	0.997
gene:TraesCS7B03G0006500	Chr7B	1313496	1318517	+	1316006	Chr7B	1153743	1158767	+	1156255	1.0	0.989
gene:TraesCS7B03G0006700	Chr7B	1322519	1336722	+	1329620	Chr7B	1162769	1176972	+	1169870	1.0	0.991
gene:TraesCS7B03G0006800	Chr7B	1340667	1341047	+	1340857	Chr7B	1180917	1181297	+	1181107	1.0	0.997
gene:TraesCS7B03G0007200	Chr7B	1360503	1361234	+	1360868	Chr7B	1252644	1253375	+	1253009	1.0	1.0
gene:TraesCS7B03G0007400	Chr7B	1373321	1373710	+	1373515	Chr7B	1265466	1265855	+	1265660	1.0	1.0
gene:TraesCS7B03G0008000	Chr7B	1436165	1437258	+	1436711	Chr7B	1328270	1329363	+	1328816	1.0	0.951
gene:TraesCS7B03G0008600	Chr7B	1693992	1694231	+	1694111	Chr7B	1586869	1587108	+	1586988	1.0	1.0
gene:TraesCS7B03G0010400	Chr7B	2097129	2100452	+	2098790	Chr7B	1950566	1953863	+	1952214	0.999	0.992
gene:TraesCS7B03G0010700	Chr7B	2668551	2670096	+	2669323	Chr7B	2506055	2507577	+	2506816	0.977	0.924
gene:TraesCS7B03G0011700	Chr7B	3081146	3082585	+	3081865	Chr7B	2942036	2943469	+	2942752	0.995	0.979
gene:TraesCS7B03G0011800	Chr7B	3116205	3118160	+	3117182	Chr7B	2977084	2979073	+	2978078	0.998	0.984
gene:TraesCS7B03G0011900	Chr7B	3118757	3122830	-	3120793	Chr7B	2979670	2983692	-	2981681	1.0	0.986
gene:TraesCS7B03G0012000	Chr7B	3221369	3227272	-	3224320	Chr7B	3084009	3089917	-	3086963	1.0	0.993
gene:TraesCS7B03G0012200	Chr7B	3242585	3251280	-	3246932	Chr7B	3105211	3113905	-	3109558	1.0	0.998
gene:TraesCS7B03G0012600	Chr7B	3264575	3273390	+	3268982	Chr7B	3127203	3136017	+	3131610	1.0	0.999
gene:TraesCS7B03G0012700	Chr7B	3275744	3280289	-	3278016	Chr7B	3138371	3142914	-	3140642	1.0	0.998
gene:TraesCS7B03G0013100	Chr7B	3425640	3425927	-	3425783	Chr7B	3288113	3288400	-	3288256	1.0	0.979
