cs_chr	cs_start	cs_end	Renan_v2_tgt_chr	Renan_v2_tgt_start	Renan_v2_tgt_end	n_anchors	mean_identity
Chr1B	170123	22885490	Chr1B	148060	24507887	252	0.976281746031746
Chr1B	25977463	31339892	Chr1B	25600258	31570354	50	0.97924
Chr1B	34045861	37874676	Chr1B	32990188	37508394	28	0.980642857142857
Chr1B	40611674	81974218	Chr1B	39126801	78929808	255	0.9864431372549018
Chr1B	86713140	91210816	Chr1B	83755239	92450558	14	0.9889285714285716
Chr1B	93460686	224268457	Chr1B	90615831	221245327	541	0.9897486136783732
Chr1B	228391742	237708948	Chr1B	225404839	234690806	14	0.9881428571428572
Chr1B	240313663	243418522	Chr1B	237422492	241405213	6	0.9925
Chr1B	247333314	249142619	Chr1B	247915259	249767822	4	0.998
Chr1B	251958660	252999271	Chr1B	251518612	252545180	4	0.98775
Chr1B	255519152	265870167	Chr1B	255025756	265452332	16	0.9908125
Chr1B	267904398	272283175	Chr1B	267476564	271899402	23	0.9869130434782608
Chr1B	274419536	296088628	Chr1B	274062853	295772727	74	0.9911486486486488
Chr1B	298738700	298817103	Chr1B	298359233	298437454	5	0.991
Chr1B	301350787	324212763	Chr1B	300909323	328118594	77	0.9766883116883116
Chr1B	328393948	501204253	Chr1B	328824697	504289079	938	0.9856289978678038
Chr1B	506831107	511698610	Chr1B	508350491	513180157	22	0.9902272727272726
Chr1B	515593272	700379038	Chr1B	518742695	702733258	1565	0.9862261980830672
