cs_chr	cs_start	cs_end	Renan_v2_tgt_chr	Renan_v2_tgt_start	Renan_v2_tgt_end	n_anchors	mean_identity
Chr6B	141140	109698670	Chr6B	740273	109274548	970	0.9869123711340206
Chr6B	112200748	114854793	Chr6B	111788153	114461955	7	0.9882857142857142
Chr6B	118675045	246426312	Chr6B	118295460	247947777	686	0.9858483965014577
Chr6B	249274084	259111612	Chr6B	250728166	260204043	25	0.98872
Chr6B	261330829	268516244	Chr6B	262421376	269906083	26	0.9867692307692308
Chr6B	280561737	289129738	Chr6B	271007781	278744254	33	0.9830303030303029
Chr6B	292829101	297214023	Chr6B	282581919	286985402	19	0.9896842105263157
Chr6B	301908638	308701890	Chr6B	300486323	308420696	22	0.9874999999999997
Chr6B	310986731	313099516	Chr6B	297254613	306157714	4	0.99575
Chr6B	323344757	327439454	Chr6B	317238700	321196126	11	0.9918181818181818
Chr6B	348602859	349949438	Chr6B	337414744	338721223	4	0.9640000000000001
Chr6B	374263249	381551074	Chr6B	364880455	372227861	11	0.9911818181818183
Chr6B	417038268	425254698	Chr6B	405440956	413633910	24	0.9923333333333333
Chr6B	440002335	449326149	Chr6B	422112132	431333551	43	0.9923488372093023
Chr6B	452819490	486984757	Chr6B	434859912	467727385	162	0.9868765432098767
Chr6B	499685333	507279716	Chr6B	484796635	492459024	34	0.9861176470588235
Chr6B	524252260	629148387	Chr6B	505499700	610496332	600	0.99145
Chr6B	631157333	635284956	Chr6B	613185272	617188860	32	0.9848750000000001
Chr6B	638657051	724548049	Chr6B	619767733	708130127	797	0.9839987452948556
Chr6B	727393543	731065543	Chr6B	708710187	712261573	33	0.9735454545454546
Chr6B	314552866	322747827	Chr6B	287674168	295844407	14	0.9902142857142857
Chr6B	352634401	363784669	Chr6B	382997251	396122198	26	0.9875
Chr6B	367054723	373952932	Chr6B	372576236	379729827	11	0.9941818181818184
Chr6B	382866904	389291257	Chr6B	356990270	363552371	8	0.9924999999999999
Chr6B	393616244	406743837	Chr6B	341449373	386267908	27	0.9908888888888889
Chr6B	410641112	416658322	Chr6B	414013405	419931328	12	0.9977499999999999
Chr6B	425597079	432650099	Chr6B	398204203	405102686	15	0.9896
Chr6B	487287532	498806667	Chr6B	493335176	505157079	47	0.9786170212765957
Chr6B	507834004	523759415	Chr6B	468392470	484210384	95	0.9875157894736841
Chr6B	724838134	725325951	Chr6B	716722100	717281183	7	0.9641428571428571
Chr6B	725159564	727203302	Chr6B	712678054	714977966	29	0.9711379310344828
