gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Renan_v2_tgt_chr	Renan_v2_tgt_start	Renan_v2_tgt_end	Renan_v2_tgt_strand	Renan_v2_tgt_midpoint	Renan_v2_coverage	Renan_v2_identity	segment
gene:TraesCS6D03G0000300	Chr6D	43457	44110	-	43783	Chr6D	48700	49353	-	49026	1.0	1.0	collinear
gene:TraesCS6D03G0000400	Chr6D	52444	52899	+	52671	Chr6D	57676	58131	+	57903	1.0	1.0	collinear
gene:TraesCS6D03G0001000	Chr6D	88938	95787	-	92362	Chr6D	93563	100413	-	96988	0.999	0.98	collinear
gene:TraesCS6D03G0001500	Chr6D	207420	208955	+	208187	Chr6D	204575	206110	+	205342	1.0	1.0	collinear
gene:TraesCS6D03G0001700	Chr6D	219614	221286	-	220450	Chr6D	216745	218417	-	217581	1.0	1.0	collinear
gene:TraesCS6D03G0001900	Chr6D	287212	289249	+	288230	Chr6D	284369	286406	+	285387	1.0	1.0	collinear
gene:TraesCS6D03G0002300	Chr6D	386000	388713	+	387356	Chr6D	383049	385762	+	384405	1.0	0.996	collinear
gene:TraesCS6D03G0002600	Chr6D	395648	398850	-	397249	Chr6D	392695	395897	-	394296	1.0	0.999	collinear
gene:TraesCS6D03G0002800	Chr6D	419600	421134	-	420367	Chr6D	416605	418132	-	417368	0.995	0.971	collinear
gene:TraesCS6D03G0002900	Chr6D	421647	422807	-	422227	Chr6D	418645	419805	-	419225	0.998	0.985	collinear
gene:TraesCS6D03G0003700	Chr6D	497323	499555	-	498439	Chr6D	496492	498724	-	497608	1.0	1.0	collinear
gene:TraesCS6D03G0003800	Chr6D	598333	601573	-	599953	Chr6D	597593	600990	-	599291	1.0	0.914	collinear
gene:TraesCS6D03G0004000	Chr6D	674763	675185	-	674974	Chr6D	674121	674543	-	674332	1.0	1.0	collinear
gene:TraesCS6D03G0004600	Chr6D	797280	798536	+	797908	Chr6D	796136	797383	+	796759	0.982	0.975	collinear
gene:TraesCS6D03G0005600	Chr6D	959215	959478	+	959346	Chr6D	958476	958739	+	958607	1.0	0.981	collinear
gene:TraesCS6D03G0006700	Chr6D	1060930	1063103	+	1062016	Chr6D	1070625	1072798	+	1071711	1.0	0.998	collinear
gene:TraesCS6D03G0006800	Chr6D	1364800	1366449	+	1365624	Chr6D	1215608	1217231	+	1216419	0.977	0.948	collinear
gene:TraesCS6D03G0007000	Chr6D	1403764	1407970	-	1405867	Chr6D	1254551	1258757	-	1256654	1.0	0.998	collinear
gene:TraesCS6D03G0007200	Chr6D	1411704	1421963	-	1416833	Chr6D	1262491	1272770	-	1267630	1.0	0.998	collinear
gene:TraesCS6D03G0007300	Chr6D	1436172	1441156	+	1438664	Chr6D	1286979	1291963	+	1289471	1.0	1.0	collinear
gene:TraesCS6D03G0007500	Chr6D	1479620	1482804	+	1481212	Chr6D	1330315	1333499	+	1331907	1.0	0.981	collinear
gene:TraesCS6D03G0007600	Chr6D	1498848	1508542	-	1503695	Chr6D	1349415	1359112	-	1354263	1.0	0.995	collinear
gene:TraesCS6D03G0007800	Chr6D	1529313	1530649	-	1529981	Chr6D	1379868	1381205	-	1380536	0.998	0.965	collinear
gene:TraesCS6D03G0008300	Chr6D	1576200	1578916	+	1577558	Chr6D	1426599	1429319	+	1427959	0.999	0.984	collinear
gene:TraesCS6D03G0008600	Chr6D	1617253	1618208	+	1617730	Chr6D	1467529	1468484	+	1468006	1.0	1.0	collinear
gene:TraesCS6D03G0008700	Chr6D	1625389	1626300	+	1625844	Chr6D	1475657	1476568	+	1476112	1.0	0.981	collinear
gene:TraesCS6D03G0008900	Chr6D	1750151	1751236	+	1750693	Chr6D	1599081	1600166	+	1599623	1.0	0.916	collinear
gene:TraesCS6D03G0009000	Chr6D	1759389	1764048	-	1761718	Chr6D	1608323	1612961	-	1610642	0.987	0.983	collinear
gene:TraesCS6D03G0009100	Chr6D	1769252	1772936	+	1771094	Chr6D	1618159	1621790	+	1619974	1.0	0.997	collinear
gene:TraesCS6D03G0009200	Chr6D	1787907	1788841	-	1788374	Chr6D	1636765	1637699	-	1637232	1.0	1.0	collinear
gene:TraesCS6D03G0009700	Chr6D	1889545	1890474	-	1890009	Chr6D	1738309	1739238	-	1738773	1.0	0.971	collinear
gene:TraesCS6D03G0010300	Chr6D	1964939	1967513	+	1966226	Chr6D	1813737	1816311	+	1815024	1.0	0.998	collinear
gene:TraesCS6D03G0010400	Chr6D	1983644	1984738	-	1984191	Chr6D	1832434	1833528	-	1832981	1.0	1.0	collinear
gene:TraesCS6D03G0010500	Chr6D	2015616	2022835	+	2019225	Chr6D	1863770	1870978	+	1867374	1.0	0.995	collinear
gene:TraesCS6D03G0010600	Chr6D	2032784	2037081	-	2034932	Chr6D	1880929	1885225	-	1883077	0.999	0.995	collinear
gene:TraesCS6D03G0010700	Chr6D	2052300	2059460	+	2055880	Chr6D	1900409	1907417	+	1903913	0.962	0.926	collinear
gene:TraesCS6D03G0010800	Chr6D	2065479	2067149	+	2066314	Chr6D	1913433	1915103	+	1914268	1.0	1.0	collinear
gene:TraesCS6D03G0010900	Chr6D	2081888	2088204	+	2085046	Chr6D	1929828	1936086	+	1932957	0.995	0.985	collinear
gene:TraesCS6D03G0011000	Chr6D	2091320	2092937	-	2092128	Chr6D	1939202	1940819	-	1940010	1.0	0.981	collinear
gene:TraesCS6D03G0011100	Chr6D	2118955	2121958	+	2120456	Chr6D	1966821	1969824	+	1968322	1.0	0.997	collinear
