gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Renan_v2_tgt_chr	Renan_v2_tgt_start	Renan_v2_tgt_end	Renan_v2_tgt_strand	Renan_v2_tgt_midpoint	Renan_v2_coverage	Renan_v2_identity	segment
gene:TraesCS7A03G0000200	Chr7A	237447	240619	+	239033	Chr7A	238613	241759	+	240186	1.0	0.996	collinear
gene:TraesCS7A03G0000300	Chr7A	241763	245662	-	243712	Chr7A	242903	246800	-	244851	1.0	1.0	collinear
gene:TraesCS7A03G0000400	Chr7A	249969	253391	+	251680	Chr7A	251104	254526	+	252815	1.0	0.996	collinear
gene:TraesCS7A03G0001000	Chr7A	287782	289092	+	288437	Chr7A	288882	290195	+	289538	1.0	1.0	collinear
gene:TraesCS7A03G0001800	Chr7A	329150	329954	+	329552	Chr7A	330246	331047	+	330646	1.0	0.989	collinear
gene:TraesCS7A03G0001900	Chr7A	339975	343261	-	341618	Chr7A	341043	344329	-	342686	1.0	0.985	collinear
gene:TraesCS7A03G0002500	Chr7A	458993	460972	-	459982	Chr7A	460020	462001	-	461010	0.998	0.982	collinear
gene:TraesCS7A03G0002900	Chr7A	625626	629540	+	627583	Chr7A	635095	639011	+	637053	1.0	0.987	collinear
gene:TraesCS7A03G0003000	Chr7A	636996	649433	-	643214	Chr7A	646466	658903	-	652684	1.0	0.997	collinear
gene:TraesCS7A03G0003300	Chr7A	658982	671984	-	665483	Chr7A	668451	681445	-	674948	1.0	1.0	collinear
gene:TraesCS7A03G0003400	Chr7A	751650	755043	-	753346	Chr7A	761083	764476	-	762779	1.0	1.0	collinear
gene:TraesCS7A03G0003500	Chr7A	776562	777005	-	776783	Chr7A	785972	786415	-	786193	1.0	1.0	collinear
gene:TraesCS7A03G0004100	Chr7A	965060	971771	+	968415	Chr7A	974867	981561	+	978214	1.0	1.0	collinear
gene:TraesCS7A03G0004300	Chr7A	1116397	1117068	+	1116732	Chr7A	1125970	1126641	+	1126305	1.0	1.0	collinear
gene:TraesCS7A03G0004500	Chr7A	1168399	1170394	+	1169396	Chr7A	1164640	1166638	+	1165639	0.992	0.979	collinear
gene:TraesCS7A03G0004800	Chr7A	1288480	1289699	+	1289089	Chr7A	1280930	1282149	+	1281539	1.0	1.0	collinear
gene:TraesCS7A03G0004900	Chr7A	1292673	1293108	-	1292890	Chr7A	1285123	1285558	-	1285340	1.0	1.0	collinear
