cs_chr	cs_start	cs_end	Renan_v2_tgt_chr	Renan_v2_tgt_start	Renan_v2_tgt_end	n_anchors	mean_identity
Chr5A	216209	62409843	Chr5A	141089	64906656	507	0.9914871794871796
Chr5A	65256920	152899436	Chr5A	67801672	155553734	374	0.9916283422459894
Chr5A	156754150	160718182	Chr5A	159402165	163512909	11	0.980090909090909
Chr5A	165302224	179083819	Chr5A	168066413	181802671	28	0.9863571428571428
Chr5A	181806528	182449906	Chr5A	184507057	185145611	3	0.9896666666666666
Chr5A	184871905	187078746	Chr5A	187560545	189757898	4	0.99725
Chr5A	192446609	200581324	Chr5A	195094150	203214111	16	0.9875
Chr5A	204816399	224020772	Chr5A	207474009	226402485	28	0.9921428571428572
Chr5A	226098410	232091062	Chr5A	228468724	234861662	20	0.99185
Chr5A	234931454	235234740	Chr5A	237626543	237929626	3	0.9816666666666666
Chr5A	245819873	249706915	Chr5A	248123900	251926788	8	0.997
Chr5A	259606122	428812755	Chr5A	259710707	428556167	832	0.9891778846153848
Chr5A	431918117	713325557	Chr5A	428848441	712444445	3054	0.9896110019646364
