gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Renan_v2_tgt_chr	Renan_v2_tgt_start	Renan_v2_tgt_end	Renan_v2_tgt_strand	Renan_v2_tgt_midpoint	Renan_v2_coverage	Renan_v2_identity
gene:TraesCS3A03G0000100	Chr3A	26146	30400	+	28273	Chr3A	1127862	1131594	+	1129728	0.999	0.969
gene:TraesCS3A03G0000200	Chr3A	53676	57493	-	55584	Chr3A	1164204	1167964	-	1166084	0.964	0.916
gene:TraesCS3A03G0002600	Chr3A	730535	733253	-	731894	Chr3A	1302093	1304851	-	1303472	1.0	0.958
gene:TraesCS3A03G0002700	Chr3A	747197	753779	+	750488	Chr3A	1351508	1357502	+	1354505	0.954	0.905
gene:TraesCS3A03G0002800	Chr3A	762529	765599	+	764064	Chr3A	1460755	1463825	+	1462290	0.997	0.965
gene:TraesCS3A03G0003000	Chr3A	954676	957962	+	956319	Chr3A	1541755	1545040	+	1543397	1.0	0.996
gene:TraesCS3A03G0003600	Chr3A	1030844	1033134	+	1031989	Chr3A	1616855	1618824	+	1617839	1.0	0.981
gene:TraesCS3A03G0004600	Chr3A	1117240	1120441	+	1118840	Chr3A	1716632	1719829	+	1718230	1.0	0.989
gene:TraesCS3A03G0004800	Chr3A	1608981	1609485	+	1609233	Chr3A	2294429	2294936	+	2294682	1.0	0.98
gene:TraesCS3A03G0004900	Chr3A	1614046	1614462	+	1614254	Chr3A	2300771	2301187	+	2300979	1.0	1.0
gene:TraesCS3A03G0005000	Chr3A	1668456	1668815	+	1668635	Chr3A	2379238	2379594	+	2379416	0.991	0.991
gene:TraesCS3A03G0005300	Chr3A	1686660	1687091	+	1686875	Chr3A	2395952	2396378	+	2396165	0.981	0.96
gene:TraesCS3A03G0005500	Chr3A	1712162	1713083	+	1712622	Chr3A	2406615	2407536	+	2407075	1.0	0.991
gene:TraesCS3A03G0006000	Chr3A	1805228	1805714	-	1805471	Chr3A	2554936	2555422	-	2555179	1.0	0.993
gene:TraesCS3A03G0006800	Chr3A	1872412	1874269	+	1873340	Chr3A	2691058	2692915	+	2691986	1.0	0.99
gene:TraesCS3A03G0007300	Chr3A	1881511	1881988	+	1881749	Chr3A	2701257	2701734	+	2701495	1.0	0.995
gene:TraesCS3A03G0007400	Chr3A	1888827	1889429	+	1889128	Chr3A	2707683	2708285	+	2707984	1.0	0.988
gene:TraesCS3A03G0007800	Chr3A	1975660	1976366	+	1976013	Chr3A	2886656	2887338	+	2886997	0.966	0.927
gene:TraesCS3A03G0007900	Chr3A	1986188	1988425	-	1987306	Chr3A	2904548	2906800	-	2905674	1.0	0.945
gene:TraesCS3A03G0008000	Chr3A	1993217	1993959	+	1993588	Chr3A	2920333	2921075	+	2920704	0.998	0.989
gene:TraesCS3A03G0008400	Chr3A	2008922	2012376	+	2010649	Chr3A	2926667	2930123	+	2928395	1.0	0.991
gene:TraesCS3A03G0009100	Chr3A	2692803	2693503	+	2693153	Chr3A	2957818	2958519	+	2958168	0.998	0.962
gene:TraesCS3A03G0009500	Chr3A	2986222	2986840	+	2986531	Chr3A	4239559	4240162	+	4239860	1.0	0.969
gene:TraesCS3A03G0009600	Chr3A	3003041	3003623	+	3003332	Chr3A	4047866	4048448	+	4048157	1.0	0.973
gene:TraesCS3A03G0010200	Chr3A	3503928	3504623	+	3504275	Chr3A	3076255	3076948	-	3076601	0.996	0.975
gene:TraesCS3A03G0010900	Chr3A	4550825	4551422	+	4551123	Chr3A	4118233	4118828	+	4118530	0.995	0.976
gene:TraesCS3A03G0012000	Chr3A	6071257	6073396	-	6072326	Chr3A	3664120	3666281	-	3665200	0.974	0.946
gene:TraesCS3A03G0012100	Chr3A	6164579	6164949	+	6164764	Chr3A	3806019	3806389	+	3806204	1.0	0.991
gene:TraesCS3A03G0014100	Chr3A	7195252	7195989	-	7195620	Chr3A	4600293	4601030	-	4600661	1.0	0.951
gene:TraesCS3A03G0014200	Chr3A	7201106	7201878	-	7201492	Chr3A	4609871	4610651	-	4610261	1.0	0.98
