cs_chr	cs_start	cs_end	Renan_v2_tgt_chr	Renan_v2_tgt_start	Renan_v2_tgt_end	n_anchors	mean_identity
Chr7D	210218	282517414	Chr7D	369015	283723361	2465	0.9907237322515213
Chr7D	287169562	287605519	Chr7D	289124153	289580521	3	0.991
Chr7D	290369533	298410203	Chr7D	292702489	300730870	14	0.9907857142857143
Chr7D	301466571	308970760	Chr7D	303439847	314165892	18	0.9963333333333334
Chr7D	311331614	315519045	Chr7D	316538475	320730930	9	0.9948888888888889
Chr7D	321700660	323749465	Chr7D	323725144	325774863	4	0.99725
Chr7D	326109003	337914601	Chr7D	328117410	339754479	13	0.987846153846154
Chr7D	344251962	353681081	Chr7D	345928824	355351697	13	0.9913076923076922
Chr7D	356547589	632611446	Chr7D	358202538	636904524	2092	0.9887366156787762
Chr7D	637612080	640908099	Chr7D	639160030	642784481	34	0.9721764705882353
