cs_chr	cs_start	cs_end	Renan_v2_tgt_chr	Renan_v2_tgt_start	Renan_v2_tgt_end	n_anchors	mean_identity
Chr3A	38130743	38196402	Chr3A	14980367	15027449	3	0.993
Chr3A	28273	140281429	Chr3A	1129728	137369571	1317	0.9864981017463934
Chr3A	142385461	192745740	Chr3A	139468756	189251127	198	0.9879090909090908
Chr3A	195861474	247605311	Chr3A	192353425	244464763	167	0.9880359281437127
Chr3A	251727885	263087799	Chr3A	248554065	259860891	18	0.9904999999999998
Chr3A	270762150	278367589	Chr3A	267450132	275182531	10	0.9874
Chr3A	280899243	281371124	Chr3A	277786075	278228466	3	0.996
Chr3A	289176311	294756278	Chr3A	286069424	291634466	5	0.9965999999999999
Chr3A	302081152	305236714	Chr3A	298926903	302069170	5	0.9960000000000001
Chr3A	308536797	311162329	Chr3A	305369924	307938719	4	0.9922500000000001
Chr3A	315104458	328087198	Chr3A	311878595	324661026	18	0.9966111111111111
Chr3A	331805909	349096037	Chr3A	328004329	345599565	28	0.9938214285714285
Chr3A	351562540	354510700	Chr3A	347988955	350935782	7	0.9938571428571429
Chr3A	357146906	360275758	Chr3A	353581998	356718413	5	0.9984
Chr3A	364135530	717475572	Chr3A	360548273	710632045	2493	0.9900842358604091
Chr3A	729983222	730484601	Chr3A	726475397	726991987	8	0.989125
Chr3A	741012579	745069361	Chr3A	738069029	741819172	49	0.9757959183673469
Chr3A	750198930	754027567	Chr3A	746934439	749680460	35	0.9805714285714285
Chr3A	717567816	742220977	Chr3A	715724560	744828043	268	0.9833731343283582
Chr3A	745264350	748817728	Chr3A	742744544	746350820	47	0.9852127659574464
