gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Renan_v2_tgt_chr	Renan_v2_tgt_start	Renan_v2_tgt_end	Renan_v2_tgt_strand	Renan_v2_tgt_midpoint	Renan_v2_coverage	Renan_v2_identity	segment
gene:TraesCS1A03G0000400	Chr1A	70239	89245	+	79742	Chr1A	19803	38669	+	29236	0.939	0.927	collinear
gene:TraesCS1A03G0000600	Chr1A	95906	104903	+	100404	Chr1A	45110	54078	+	49594	0.997	0.978	collinear
gene:TraesCS1A03G0000800	Chr1A	102794	122504	+	112649	Chr1A	43717	55022	+	49369	0.999	0.956	collinear
gene:TraesCS1A03G0001000	Chr1A	149490	154559	-	152024	Chr1A	72712	77781	-	75246	1.0	0.995	collinear
gene:TraesCS1A03G0001200	Chr1A	162313	162609	+	162461	Chr1A	85530	85826	+	85678	1.0	0.986	collinear
gene:TraesCS1A03G0001300	Chr1A	169592	169969	-	169780	Chr1A	110801	111178	-	110989	1.0	0.992	collinear
gene:TraesCS1A03G0001400	Chr1A	180175	180552	-	180363	Chr1A	102494	102871	-	102682	1.0	0.992	collinear
gene:TraesCS1A03G0001800	Chr1A	270605	272936	-	271770	Chr1A	341099	343458	+	342278	1.0	0.96	collinear
gene:TraesCS1A03G0002400	Chr1A	297266	297652	+	297459	Chr1A	16956	17342	-	17149	1.0	0.989	collinear
gene:TraesCS1A03G0002800	Chr1A	326099	326518	+	326308	Chr1A	341459	341878	-	341668	1.0	0.985	collinear
gene:TraesCS1A03G0002900	Chr1A	337960	338256	+	338108	Chr1A	5311	5607	-	5459	1.0	0.989	collinear
gene:TraesCS1A03G0004000	Chr1A	1142826	1144427	+	1143626	Chr1A	1054566	1056119	+	1055342	0.933	0.909	collinear
gene:TraesCS1A03G0004200	Chr1A	1157430	1161066	-	1159248	Chr1A	1069104	1072740	-	1070922	1.0	1.0	collinear
gene:TraesCS1A03G0004300	Chr1A	1161721	1166114	-	1163917	Chr1A	1073395	1077788	-	1075591	1.0	1.0	collinear
gene:TraesCS1A03G0004400	Chr1A	1168201	1175228	+	1171714	Chr1A	1079874	1086861	+	1083367	0.985	0.982	collinear
gene:TraesCS1A03G0004500	Chr1A	1186689	1188709	+	1187699	Chr1A	1098042	1100062	+	1099052	1.0	1.0	collinear
gene:TraesCS1A03G0004900	Chr1A	1207566	1210657	-	1209111	Chr1A	1114155	1117245	-	1115700	0.999	0.996	collinear
gene:TraesCS1A03G0005000	Chr1A	1226759	1227184	-	1226971	Chr1A	1132524	1132949	-	1132736	1.0	0.995	collinear
gene:TraesCS1A03G0005200	Chr1A	1230199	1236314	-	1233256	Chr1A	1136006	1142144	-	1139075	0.999	0.985	collinear
gene:TraesCS1A03G0005600	Chr1A	1334686	1346171	-	1340428	Chr1A	1239875	1251358	-	1245616	1.0	0.999	collinear
gene:TraesCS1A03G0006700	Chr1A	1570115	1571372	-	1570743	Chr1A	1426038	1427295	-	1426666	1.0	0.993	collinear
gene:TraesCS1A03G0007600	Chr1A	1938410	1941394	+	1939902	Chr1A	1833333	1836317	+	1834825	1.0	0.988	collinear
gene:TraesCS1A03G0007700	Chr1A	1946022	1947181	+	1946601	Chr1A	1841006	1842196	+	1841601	1.0	0.919	collinear
gene:TraesCS1A03G0007800	Chr1A	1946792	1947917	+	1947354	Chr1A	1841804	1842933	+	1842368	1.0	0.952	collinear
gene:TraesCS1A03G0012100	Chr1A	3281811	3283241	-	3282526	Chr1A	2035481	2036911	-	2036196	1.0	1.0	collinear
gene:TraesCS1A03G0012500	Chr1A	3295315	3297312	+	3296313	Chr1A	2048975	2050972	+	2049973	1.0	0.999	collinear
gene:TraesCS1A03G0012700	Chr1A	3341113	3344810	-	3342961	Chr1A	2094403	2098101	-	2096252	1.0	0.993	collinear
gene:TraesCS1A03G0012900	Chr1A	3377845	3384475	+	3381160	Chr1A	2131118	2137748	+	2134433	1.0	0.986	collinear
gene:TraesCS1A03G0013000	Chr1A	3397757	3421936	+	3409846	Chr1A	2151009	2175437	+	2163223	0.999	0.98	collinear
gene:TraesCS1A03G0013100	Chr1A	3442853	3443320	-	3443086	Chr1A	2196351	2196818	-	2196584	1.0	0.997	collinear
