gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Renan_v2_tgt_chr	Renan_v2_tgt_start	Renan_v2_tgt_end	Renan_v2_tgt_strand	Renan_v2_tgt_midpoint	Renan_v2_coverage	Renan_v2_identity	segment
gene:TraesCS3B03G0031900	Chr3B	10984123	10991077	+	10987600	Chr3B	4317670	4324634	+	4321152	0.999	0.997	rearrangement:Chr3B_block1
gene:TraesCS3B03G0033000	Chr3B	11047699	11048402	-	11048050	Chr3B	4367378	4368081	-	4367729	1.0	0.998	rearrangement:Chr3B_block1
gene:TraesCS3B03G0033200	Chr3B	11064590	11065892	-	11065241	Chr3B	4396373	4397683	-	4397028	0.996	0.956	rearrangement:Chr3B_block1
gene:TraesCS3B03G0034500	Chr3B	11323937	11324951	+	11324444	Chr3B	4749058	4750050	+	4749554	0.974	0.971	rearrangement:Chr3B_block1
gene:TraesCS3B03G0034700	Chr3B	11336624	11338440	-	11337532	Chr3B	4760646	4762462	-	4761554	1.0	0.998	rearrangement:Chr3B_block1
gene:TraesCS3B03G0034800	Chr3B	11342223	11343646	-	11342934	Chr3B	4766245	4767668	-	4766956	1.0	0.997	rearrangement:Chr3B_block1
gene:TraesCS3B03G0035000	Chr3B	11358679	11367360	+	11363019	Chr3B	4780447	4789063	+	4784755	0.982	0.972	rearrangement:Chr3B_block1
gene:TraesCS3B03G0035200	Chr3B	11376630	11380418	+	11378524	Chr3B	4798173	4801744	+	4799958	0.996	0.994	rearrangement:Chr3B_block1
gene:TraesCS3B03G0035700	Chr3B	11460688	11462059	+	11461373	Chr3B	4911976	4913345	+	4912660	1.0	0.986	rearrangement:Chr3B_block1
gene:TraesCS3B03G0036400	Chr3B	11562146	11562933	+	11562539	Chr3B	5065311	5066097	+	5065704	1.0	0.949	rearrangement:Chr3B_block1
gene:TraesCS3B03G0036500	Chr3B	11587168	11589299	+	11588233	Chr3B	5088753	5090879	+	5089816	0.998	0.976	rearrangement:Chr3B_block1
