cs_chr	cs_start	cs_end	Lancer_tgt_chr	Lancer_tgt_start	Lancer_tgt_end	n_anchors	mean_identity
Chr6A	119203	165560133	Chr6A	4876	159353387	1424	0.9918490168539326
Chr6A	169123596	174751019	Chr6A	162901318	168499770	30	0.9996000000000002
Chr6A	177010402	237636332	Chr6A	170722012	230782206	204	0.9990049019607844
Chr6A	243810148	244731119	Chr6A	236937254	237842792	3	1.0
Chr6A	251103689	255370132	Chr6A	244206872	248466062	8	1.0
Chr6A	257566273	264313435	Chr6A	250592448	257337557	21	0.999904761904762
Chr6A	266482395	275860435	Chr6A	259504937	268998916	22	0.9998636363636364
Chr6A	278883582	290338890	Chr6A	272000987	283318616	15	0.9997333333333334
Chr6A	293863739	319731587	Chr6A	286852917	312616706	28	0.9997142857142858
Chr6A	323819925	326827584	Chr6A	316689548	319657077	8	0.9995
Chr6A	328915123	332571498	Chr6A	321732514	325380140	6	1.0
Chr6A	334687288	346665213	Chr6A	327496517	339407317	16	0.9996875000000001
Chr6A	349035941	349057392	Chr6A	341782984	341804435	3	1.0
Chr6A	354380382	355885891	Chr6A	347084183	348587303	4	0.9977499999999999
Chr6A	357954045	528717530	Chr6A	350630951	521304538	864	0.9988449074074074
Chr6A	531116343	620123971	Chr6A	522472470	610819106	1148	0.9958893728222996
