gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Lancer_tgt_chr	Lancer_tgt_start	Lancer_tgt_end	Lancer_tgt_strand	Lancer_tgt_midpoint	Lancer_coverage	Lancer_identity
gene:TraesCS7A03G0029500	Chr7A	6626336	6629683	+	6628009	Chr7A	9217607	9220947	+	9219277	0.997	0.979
gene:TraesCS7A03G0029800	Chr7A	6653409	6656928	-	6655168	Chr7A	9261255	9264744	-	9262999	1.0	0.995
gene:TraesCS7A03G0029900	Chr7A	6658548	6661327	+	6659937	Chr7A	9266364	9269210	+	9267787	1.0	0.996
gene:TraesCS7A03G0030000	Chr7A	6662289	6666108	-	6664198	Chr7A	9270168	9273991	-	9272079	0.997	0.986
gene:TraesCS7A03G0030900	Chr7A	6822543	6827726	-	6825134	Chr7A	9388623	9393784	-	9391203	0.994	0.987
gene:TraesCS7A03G0031000	Chr7A	6830243	6836892	+	6833567	Chr7A	9394925	9401262	+	9398093	0.996	0.952
gene:TraesCS7A03G0031700	Chr7A	6862393	6871357	-	6866875	Chr7A	9462808	9471912	-	9467360	0.993	0.98
gene:TraesCS7A03G0031800	Chr7A	6921839	6925305	+	6923572	Chr7A	9525086	9531439	+	9528262	1.0	0.983
gene:TraesCS7A03G0033500	Chr7A	7170906	7174675	-	7172790	Chr7A	9775680	9779283	-	9777481	1.0	0.989
gene:TraesCS7A03G0041300	Chr7A	8765956	8771484	-	8768720	Chr7A	11133514	11139040	-	11136277	0.999	0.994
gene:TraesCS7A03G0041400	Chr7A	8773031	8777173	-	8775102	Chr7A	11140149	11144074	-	11142111	0.998	0.995
gene:TraesCS7A03G0041500	Chr7A	8777742	8780742	-	8779242	Chr7A	11144634	11147636	-	11146135	1.0	0.993
gene:TraesCS7A03G0041700	Chr7A	8884574	8886768	+	8885671	Chr7A	11269668	11271857	+	11270762	0.998	0.995
gene:TraesCS7A03G0041900	Chr7A	8886782	8889674	-	8888228	Chr7A	11271871	11274781	-	11273326	0.997	0.992
gene:TraesCS7A03G0042000	Chr7A	8894178	8896509	+	8895343	Chr7A	11279167	11281600	+	11280383	1.0	0.904
gene:TraesCS7A03G0042200	Chr7A	8931580	8932227	-	8931903	Chr7A	11297668	11298315	-	11297991	1.0	0.993
gene:TraesCS7A03G0042100	Chr7A	8931580	8932227	-	8931903	Chr7A	11297668	11298315	-	11297991	1.0	0.993
gene:TraesCS7A03G0042900	Chr7A	9049554	9051183	+	9050368	Chr7A	11323813	11325445	+	11324629	1.0	0.983
gene:TraesCS7A03G0043400	Chr7A	9166827	9169280	+	9168053	Chr7A	11495218	11497672	+	11496445	0.998	0.991
gene:TraesCS7A03G0044700	Chr7A	9314587	9315742	-	9315164	Chr7A	11602971	11604129	-	11603550	1.0	0.971
gene:TraesCS7A03G0045400	Chr7A	9404289	9405672	-	9404980	Chr7A	11745784	11747165	-	11746474	0.998	0.993
gene:TraesCS7A03G0045500	Chr7A	9406277	9410400	-	9408338	Chr7A	11747770	11751873	-	11749821	0.994	0.965
gene:TraesCS7A03G0045600	Chr7A	9425387	9428390	+	9426888	Chr7A	11775998	11778991	+	11777494	1.0	0.985
gene:TraesCS7A03G0046100	Chr7A	9520738	9524766	+	9522752	Chr7A	11803476	11806294	+	11804885	0.981	0.956
gene:TraesCS7A03G0046200	Chr7A	9524922	9527287	+	9526104	Chr7A	11806491	11807952	+	11807221	0.996	0.987
gene:TraesCS7A03G0046600	Chr7A	9620795	9622824	-	9621809	Chr7A	11912004	11914029	-	11913016	0.997	0.989
gene:TraesCS7A03G0046800	Chr7A	9669894	9670379	-	9670136	Chr7A	11977503	11977988	-	11977745	1.0	0.983
gene:TraesCS7A03G0047000	Chr7A	9828187	9828844	-	9828515	Chr7A	12417759	12418416	-	12418087	1.0	0.971
gene:TraesCS7A03G0047100	Chr7A	9837698	9845560	+	9841629	Chr7A	12435117	12443222	+	12439169	1.0	0.994
gene:TraesCS7A03G0047300	Chr7A	9873692	9874324	+	9874008	Chr7A	12452716	12453348	+	12453032	1.0	0.992
gene:TraesCS7A03G0047600	Chr7A	9920525	9922493	+	9921509	Chr7A	12507732	12509703	+	12508717	1.0	0.992
gene:TraesCS7A03G0053100	Chr7A	10856183	10858905	-	10857544	Chr7A	13379176	13381856	-	13380516	0.991	0.929
gene:TraesCS7A03G0053200	Chr7A	10862271	10863675	-	10862973	Chr7A	13386014	13387418	-	13386716	1.0	0.974
gene:TraesCS7A03G0053500	Chr7A	10885217	10886303	+	10885760	Chr7A	13406904	13407980	+	13407442	0.994	0.969
gene:TraesCS7A03G0054900	Chr7A	11168786	11169010	-	11168898	Chr7A	13439528	13439752	-	13439640	0.995	0.933
gene:TraesCS7A03G0055000	Chr7A	11168786	11169010	-	11168898	Chr7A	13439528	13439752	-	13439640	0.995	0.933
gene:TraesCS7A03G0055600	Chr7A	11406320	11407464	+	11406892	Chr7A	13484223	13485479	+	13484851	0.992	0.909
gene:TraesCS7A03G0056600	Chr7A	11573067	11574346	-	11573706	Chr7A	13554467	13555740	-	13555103	0.994	0.964
gene:TraesCS7A03G0057100	Chr7A	11604432	11608352	+	11606392	Chr7A	13567529	13571449	+	13569489	1.0	0.992
gene:TraesCS7A03G0057200	Chr7A	11611051	11620641	+	11615846	Chr7A	13595928	13605510	+	13600719	0.998	0.994
gene:TraesCS7A03G0057300	Chr7A	11621570	11624837	-	11623203	Chr7A	13606442	13609477	-	13607959	1.0	0.989
gene:TraesCS7A03G0058100	Chr7A	11784664	11785275	+	11784969	Chr7A	13692015	13692612	+	13692313	0.977	0.947
gene:TraesCS7A03G0058200	Chr7A	11830012	11830882	-	11830447	Chr7A	13725018	13725899	-	13725458	1.0	0.97
gene:TraesCS7A03G0071200	Chr7A	15304593	15306470	+	15305531	Chr7A	16485413	16487152	-	16486282	0.971	0.965
