gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Lancer_tgt_chr	Lancer_tgt_start	Lancer_tgt_end	Lancer_tgt_strand	Lancer_tgt_midpoint	Lancer_coverage	Lancer_identity
gene:TraesCS7D03G0000400	Chr7D	207994	212443	-	210218	Chr7D	376817	381256	-	379036	0.997	0.997
gene:TraesCS7D03G0000500	Chr7D	242065	245782	+	243923	Chr7D	410878	414595	+	412736	1.0	1.0
gene:TraesCS7D03G0000900	Chr7D	337014	337852	+	337433	Chr7D	505724	506562	+	506143	1.0	1.0
gene:TraesCS7D03G0001000	Chr7D	365927	369790	-	367858	Chr7D	534739	538603	-	536671	1.0	0.996
gene:TraesCS7D03G0001100	Chr7D	371892	373182	-	372537	Chr7D	540705	541995	-	541350	1.0	1.0
gene:TraesCS7D03G0001400	Chr7D	478186	482086	-	480136	Chr7D	647094	650994	-	649044	1.0	1.0
gene:TraesCS7D03G0001900	Chr7D	706058	709008	-	707533	Chr7D	877852	880803	-	879327	1.0	0.989
gene:TraesCS7D03G0002100	Chr7D	995282	1001481	-	998381	Chr7D	1165069	1171268	-	1168168	1.0	1.0
gene:TraesCS7D03G0002300	Chr7D	1028545	1032002	-	1030273	Chr7D	1198453	1201910	-	1200181	1.0	0.999
gene:TraesCS7D03G0002600	Chr7D	1089491	1090678	-	1090084	Chr7D	1259577	1260764	-	1260170	1.0	1.0
gene:TraesCS7D03G0002800	Chr7D	1101311	1104311	-	1102811	Chr7D	1271475	1274451	-	1272963	0.992	0.99
gene:TraesCS7D03G0002900	Chr7D	1138064	1151035	-	1144549	Chr7D	1308252	1321223	-	1314737	1.0	0.999
gene:TraesCS7D03G0003200	Chr7D	1197663	1199279	-	1198471	Chr7D	1367312	1368928	-	1368120	1.0	1.0
gene:TraesCS7D03G0003900	Chr7D	1268276	1269780	-	1269028	Chr7D	1438096	1439600	-	1438848	1.0	1.0
gene:TraesCS7D03G0004000	Chr7D	1270782	1275797	-	1273289	Chr7D	1440602	1445629	-	1443115	1.0	1.0
gene:TraesCS7D03G0004300	Chr7D	1318295	1332709	+	1325502	Chr7D	1488145	1502310	+	1495227	1.0	1.0
gene:TraesCS7D03G0004400	Chr7D	1335304	1336512	+	1335908	Chr7D	1504905	1506113	+	1505509	1.0	1.0
gene:TraesCS7D03G0004500	Chr7D	1367440	1372889	+	1370164	Chr7D	1537128	1542617	+	1539872	1.0	1.0
gene:TraesCS7D03G0004600	Chr7D	1423297	1428624	-	1425960	Chr7D	1592912	1598239	-	1595575	1.0	1.0
gene:TraesCS7D03G0004700	Chr7D	1568149	1569787	+	1568968	Chr7D	1738660	1740298	+	1739479	1.0	1.0
gene:TraesCS7D03G0005200	Chr7D	1622734	1623927	-	1623330	Chr7D	1793249	1794442	-	1793845	1.0	1.0
gene:TraesCS7D03G0005300	Chr7D	1630150	1631499	-	1630824	Chr7D	1800665	1802014	-	1801339	1.0	1.0
gene:TraesCS7D03G0005400	Chr7D	1638146	1638877	-	1638511	Chr7D	1808661	1809392	-	1809026	1.0	1.0
gene:TraesCS7D03G0005500	Chr7D	1648975	1654512	-	1651743	Chr7D	1819539	1825076	-	1822307	1.0	0.999
