cs_chr	cs_start	cs_end	Lancer_tgt_chr	Lancer_tgt_start	Lancer_tgt_end	n_anchors	mean_identity
Chr5A	5515715	6123230	Chr5A	2902535	3320693	6	0.9965
Chr5A	6869343	8839545	Chr5A	47687	2085826	32	0.98775
Chr5A	238592814	247013515	Chr5A	251054130	259447142	26	0.9993461538461539
Chr5A	14293	5202583	Chr5A	3633026	8297173	61	0.9911803278688524
Chr5A	9677253	62409843	Chr5A	9590091	63506190	448	0.9956785714285713
Chr5A	65256920	152899436	Chr5A	66317059	154110286	398	0.9960603015075378
Chr5A	156754150	160718182	Chr5A	157857401	161742645	12	0.9998333333333335
Chr5A	163084098	171972235	Chr5A	164092432	172983497	23	0.9998695652173913
Chr5A	174235485	182449906	Chr5A	175232085	183212735	13	0.9995384615384615
Chr5A	184871905	187078746	Chr5A	185636380	187843234	4	1.0
Chr5A	192446609	200581324	Chr5A	193114017	201203096	16	0.99875
Chr5A	204816399	224020772	Chr5A	205464528	224526616	33	0.9996969696969698
Chr5A	226098410	238494644	Chr5A	226602259	238508214	28	0.9997857142857143
Chr5A	247866626	251028605	Chr5A	245360970	250338587	8	1.0
Chr5A	259606122	428812755	Chr5A	259945120	427881747	899	0.9985050055617354
Chr5A	431918117	702477300	Chr5A	428176694	693887640	3102	0.9961624758220503
Chr5A	704724836	709763954	Chr5A	697260298	702025755	66	0.9997121212121212
Chr5A	702486978	704556052	Chr5A	702212237	703959956	25	0.9906400000000001
Chr5A	709810782	713328361	Chr5A	693939828	697215398	40	0.9995
