gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Lancer_tgt_chr	Lancer_tgt_start	Lancer_tgt_end	Lancer_tgt_strand	Lancer_tgt_midpoint	Lancer_coverage	Lancer_identity	segment
gene:TraesCS4A03G0117000	Chr4A	54082770	54086286	-	54084528	Chr4A	67252533	67256049	+	67254291	1.0	0.998	rearrangement:Chr4A_block1
gene:TraesCS4A03G0117300	Chr4A	54379904	54381472	-	54380688	Chr4A	66971759	66973327	+	66972543	1.0	0.999	rearrangement:Chr4A_block1
gene:TraesCS4A03G0117600	Chr4A	55349876	55352750	-	55351313	Chr4A	65979707	65982577	+	65981142	1.0	0.996	rearrangement:Chr4A_block1
gene:TraesCS4A03G0117700	Chr4A	55361788	55371132	-	55366460	Chr4A	65962549	65970778	+	65966663	1.0	0.999	rearrangement:Chr4A_block1
gene:TraesCS4A03G0117800	Chr4A	55543502	55546248	+	55544875	Chr4A	65763601	65766342	-	65764971	1.0	0.996	rearrangement:Chr4A_block1
gene:TraesCS4A03G0118200	Chr4A	55882446	55889295	+	55885870	Chr4A	65406063	65412912	-	65409487	1.0	1.0	rearrangement:Chr4A_block1
gene:TraesCS4A03G0118400	Chr4A	56112381	56114640	+	56113510	Chr4A	65192893	65195126	-	65194009	0.985	0.982	rearrangement:Chr4A_block1
gene:TraesCS4A03G0118700	Chr4A	56220062	56223069	-	56221565	Chr4A	65076879	65079885	+	65078382	0.999	0.995	rearrangement:Chr4A_block1
gene:TraesCS4A03G0118900	Chr4A	56228922	56231502	+	56230212	Chr4A	65068418	65070996	-	65069707	0.998	0.996	rearrangement:Chr4A_block1
gene:TraesCS4A03G0119200	Chr4A	56234911	56240038	-	56237474	Chr4A	65059882	65065008	+	65062445	0.999	0.998	rearrangement:Chr4A_block1
gene:TraesCS4A03G0119300	Chr4A	56438575	56449004	-	56443789	Chr4A	64845369	64855805	+	64850587	1.0	0.997	rearrangement:Chr4A_block1
gene:TraesCS4A03G0119500	Chr4A	56463206	56467382	-	56465294	Chr4A	64826984	64831169	+	64829076	1.0	1.0	rearrangement:Chr4A_block1
gene:TraesCS4A03G0119700	Chr4A	56467828	56472223	-	56470025	Chr4A	64822144	64826538	+	64824341	0.999	0.997	rearrangement:Chr4A_block1
gene:TraesCS4A03G0119900	Chr4A	56475666	56477514	-	56476590	Chr4A	64816853	64818701	+	64817777	1.0	0.978	rearrangement:Chr4A_block1
gene:TraesCS4A03G0120000	Chr4A	57140692	57144758	+	57142725	Chr4A	64105155	64109221	-	64107188	1.0	1.0	rearrangement:Chr4A_block1
gene:TraesCS4A03G0120100	Chr4A	57384599	57386637	+	57385618	Chr4A	63870777	63872814	-	63871795	1.0	0.997	rearrangement:Chr4A_block1
gene:TraesCS4A03G0120400	Chr4A	57410695	57411463	+	57411079	Chr4A	63846026	63846794	-	63846410	1.0	1.0	rearrangement:Chr4A_block1
gene:TraesCS4A03G0120600	Chr4A	57493151	57497122	+	57495136	Chr4A	63760249	63764221	-	63762235	1.0	0.999	rearrangement:Chr4A_block1
gene:TraesCS4A03G0120700	Chr4A	57794524	57797073	+	57795798	Chr4A	63458137	63460686	-	63459411	1.0	0.988	rearrangement:Chr4A_block1
gene:TraesCS4A03G0121400	Chr4A	58090907	58092587	-	58091747	Chr4A	63152356	63154036	+	63153196	1.0	0.989	rearrangement:Chr4A_block1
gene:TraesCS4A03G0155200	Chr4A	75804560	75814148	+	75809354	Chr4A	70537449	70547034	-	70542241	1.0	0.999	rearrangement:Chr4A_block1
gene:TraesCS4A03G0155300	Chr4A	75814478	75816006	-	75815242	Chr4A	70535591	70537119	+	70536355	1.0	0.994	rearrangement:Chr4A_block1
gene:TraesCS4A03G0155600	Chr4A	75890764	75892791	+	75891777	Chr4A	70452065	70454084	-	70453074	1.0	0.997	rearrangement:Chr4A_block1
gene:TraesCS4A03G0155800	Chr4A	75940995	75945605	+	75943300	Chr4A	70397007	70403535	-	70400271	1.0	0.995	rearrangement:Chr4A_block1
gene:TraesCS4A03G0156000	Chr4A	76385162	76392067	+	76388614	Chr4A	69937905	69944810	-	69941357	1.0	0.998	rearrangement:Chr4A_block1
gene:TraesCS4A03G0156200	Chr4A	76393305	76395671	-	76394488	Chr4A	69934301	69936667	+	69935484	1.0	1.0	rearrangement:Chr4A_block1
gene:TraesCS4A03G0156400	Chr4A	76587591	76593680	+	76590635	Chr4A	69723009	69729117	-	69726063	1.0	0.992	rearrangement:Chr4A_block1
gene:TraesCS4A03G0156600	Chr4A	76595050	76598017	+	76596533	Chr4A	69718662	69721625	-	69720143	0.998	0.996	rearrangement:Chr4A_block1
gene:TraesCS4A03G0157000	Chr4A	76890252	76899326	+	76894789	Chr4A	69421308	69430374	-	69425841	1.0	0.998	rearrangement:Chr4A_block1
gene:TraesCS4A03G0157100	Chr4A	76900231	76907654	+	76903942	Chr4A	69412732	69420181	-	69416456	1.0	0.998	rearrangement:Chr4A_block1
gene:TraesCS4A03G0157200	Chr4A	76908014	76910672	-	76909343	Chr4A	69409714	69412372	+	69411043	1.0	0.996	rearrangement:Chr4A_block1
gene:TraesCS4A03G0157400	Chr4A	77057032	77062394	+	77059713	Chr4A	69267809	69273171	-	69270490	1.0	0.99	rearrangement:Chr4A_block1
gene:TraesCS4A03G0157500	Chr4A	77402851	77409156	+	77406003	Chr4A	68925314	68931607	-	68928460	1.0	0.998	rearrangement:Chr4A_block1
gene:TraesCS4A03G0158100	Chr4A	78116224	78119818	-	78118021	Chr4A	68189905	68193498	+	68191701	1.0	0.998	rearrangement:Chr4A_block1
gene:TraesCS4A03G0158200	Chr4A	78136530	78136913	-	78136721	Chr4A	68173038	68173421	+	68173229	1.0	1.0	rearrangement:Chr4A_block1
gene:TraesCS4A03G0158300	Chr4A	78137077	78138960	-	78138018	Chr4A	68170991	68172874	+	68171932	1.0	0.996	rearrangement:Chr4A_block1
gene:TraesCS4A03G0158400	Chr4A	78222080	78225156	+	78223618	Chr4A	68100482	68103557	-	68102019	0.998	0.996	rearrangement:Chr4A_block1
gene:TraesCS4A03G0158600	Chr4A	78234205	78234697	+	78234451	Chr4A	68081131	68081623	-	68081377	1.0	1.0	rearrangement:Chr4A_block1
gene:TraesCS4A03G0159600	Chr4A	78734995	78737736	+	78736365	Chr4A	67554092	67556833	-	67555462	1.0	0.998	rearrangement:Chr4A_block1
gene:TraesCS4A03G0133600	Chr4A	64961270	64963419	+	64962344	Chr4A	81261837	81263986	-	81262911	1.0	0.998	rearrangement:Chr4A_block2
gene:TraesCS4A03G0133700	Chr4A	65457706	65466978	+	65462342	Chr4A	80758519	80767793	-	80763156	0.999	0.998	rearrangement:Chr4A_block2
gene:TraesCS4A03G0133800	Chr4A	65467067	65468463	+	65467765	Chr4A	80757034	80758430	-	80757732	1.0	0.999	rearrangement:Chr4A_block2
gene:TraesCS4A03G0133900	Chr4A	65775553	65776214	+	65775883	Chr4A	80440085	80440746	-	80440415	1.0	0.995	rearrangement:Chr4A_block2
gene:TraesCS4A03G0134200	Chr4A	66139512	66145254	+	66142383	Chr4A	80102039	80107771	-	80104905	1.0	0.999	rearrangement:Chr4A_block2
