cs_chr	Lancer_tgt_chr	n_anchors	Lancer_mean_anchor_gap_Mb	Lancer_interp_type	n_segments	Lancer_mean_anchor_fraction
Chr1A	Chr1A+Chr1A+Chr1A+Chr1A+Chr1A+Chr1A	4078	0.081	linear+pchip_inverted+linear+linear+pchip_inverted+pchip_inverted	6	0.952
Chr1B	Chr1B+Chr1B+Chr1B+Chr1B	4267	0.343	linear+linear+linear+linear	4	0.93
Chr1D	Chr1D+Chr1D+Chr1D+Chr1D	4337	0.09	linear+linear+linear+linear	4	0.971
Chr2A	Chr2A+Chr2A+Chr2A+Chr2A	5293	0.226	linear+pchip_inverted+linear+linear	4	0.912
Chr2B	Chr2B+Chr2B	4521	0.474	linear+linear	2	0.737
Chr2D	Chr2D+Chr2D+Chr2D	5415	0.24	linear+linear+linear	3	0.952
Chr3A	Chr3A+Chr3A+Chr3A+Chr3A+Chr3A	4987	0.084	linear+linear+pchip_inverted+linear+linear	5	0.968
Chr3B	Chr3B+Chr3B+Chr3B+Chr3B+Chr3B+Chr3B+Chr3B	5260	0.122	linear+linear+linear+linear+linear+linear+pchip	7	0.911
Chr3D	Chr3D+Chr3D+Chr3D	4881	0.182	linear+linear+linear	3	0.954
Chr4A	Chr4A+Chr4A+Chr4A+Chr4A+Chr4A+Chr4A+Chr4A	4402	0.264	linear+linear+pchip_inverted+linear+linear+linear+linear	7	0.945
Chr4B	Chr4B+Chr4B+Chr4B	3583	0.184	linear+linear+linear	3	0.803
Chr4D	Chr4D+Chr4D	3436	0.13	linear+linear	2	0.966
Chr5A	Chr5A+Chr5A+Chr5A+Chr5A+Chr5A+Chr5A	5241	0.14	linear+linear+pchip_inverted+linear+linear+pchip_inverted	6	0.963
Chr5B	Chr5B+Chr5B+Chr5B	5178	0.313	linear+linear+pchip_inverted	3	0.925
Chr5D	Chr5D+Chr5D	5418	0.101	linear+linear	2	0.977
Chr6A	Chr6A+Chr6A	3840	0.111	linear+pchip_inverted	2	0.963
Chr6B	Chr6B+Chr6B+Chr6B+Chr6B+Chr6B+Chr6B+Chr6B+Chr6B	3879	0.134	linear+linear+linear+pchip_inverted+pchip_inverted+linear+linear+linear	8	0.795
Chr6D	Chr6D+Chr6D	3664	0.091	linear+pchip_inverted	2	0.928
Chr7A	Chr7A+Chr7A+Chr7A+Chr7A+Chr7A	4928	0.115	linear+linear+pchip_inverted+linear+linear	5	0.939
Chr7B	Chr7B+Chr7B+Chr7B+Chr7B+Chr7B+Chr7B+Chr7B	4233	0.248	linear+linear+pchip+linear+linear+linear+linear	7	0.849
Chr7D	Chr7D+Chr7D+Chr7D	5281	0.067	linear+linear+pchip_inverted	3	0.976
