gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Lancer_tgt_chr	Lancer_tgt_start	Lancer_tgt_end	Lancer_tgt_strand	Lancer_tgt_midpoint	Lancer_coverage	Lancer_identity
gene:TraesCS1D03G0000100	Chr1D	20638	21773	+	21205	Chr1D	658323	659458	-	658890	1.0	1.0
gene:TraesCS1D03G0000300	Chr1D	29025	30863	+	29944	Chr1D	649233	651071	-	650152	1.0	1.0
gene:TraesCS1D03G0000400	Chr1D	31231	35151	-	33191	Chr1D	644945	648865	+	646905	1.0	0.999
gene:TraesCS1D03G0000500	Chr1D	35595	39094	-	37344	Chr1D	641002	644501	+	642751	1.0	1.0
gene:TraesCS1D03G0000600	Chr1D	42073	49239	+	45656	Chr1D	630883	638023	-	634453	1.0	1.0
gene:TraesCS1D03G0000800	Chr1D	55880	57669	+	56774	Chr1D	622344	624133	-	623238	1.0	1.0
gene:TraesCS1D03G0001000	Chr1D	62405	66535	+	64470	Chr1D	613412	617560	-	615486	1.0	0.967
gene:TraesCS1D03G0001100	Chr1D	66949	69971	-	68460	Chr1D	609976	612998	+	611487	1.0	1.0
gene:TraesCS1D03G0001300	Chr1D	73080	76040	-	74560	Chr1D	603908	606867	+	605387	1.0	1.0
gene:TraesCS1D03G0001400	Chr1D	78627	81289	-	79958	Chr1D	598659	601321	+	599990	1.0	1.0
gene:TraesCS1D03G0001500	Chr1D	92853	98829	-	95841	Chr1D	581092	587069	+	584080	1.0	1.0
gene:TraesCS1D03G0001600	Chr1D	117511	120788	+	119149	Chr1D	558940	562217	-	560578	1.0	1.0
gene:TraesCS1D03G0001800	Chr1D	171475	183229	-	177352	Chr1D	496332	508218	+	502275	1.0	1.0
gene:TraesCS1D03G0002300	Chr1D	387049	399494	-	393271	Chr1D	279990	292446	+	286218	1.0	1.0
gene:TraesCS1D03G0002400	Chr1D	409650	411707	-	410678	Chr1D	267777	269834	+	268805	1.0	1.0
gene:TraesCS1D03G0002600	Chr1D	418798	422767	-	420782	Chr1D	256717	260686	+	258701	1.0	1.0
gene:TraesCS1D03G0002800	Chr1D	432621	439371	+	435996	Chr1D	240034	246862	-	243448	1.0	0.999
gene:TraesCS1D03G0002900	Chr1D	444052	448470	-	446261	Chr1D	230926	235344	+	233135	1.0	1.0
gene:TraesCS1D03G0003000	Chr1D	454345	457932	+	456138	Chr1D	221414	225051	-	223232	1.0	1.0
gene:TraesCS1D03G0003200	Chr1D	465036	466154	-	465595	Chr1D	213192	214310	+	213751	1.0	1.0
gene:TraesCS1D03G0011800	Chr1D	3134519	3134782	-	3134650	Chr1D	5817380	5817643	+	5817511	1.0	1.0
gene:TraesCS1D03G0011900	Chr1D	3146520	3146738	+	3146629	Chr1D	5805751	5805969	-	5805860	1.0	1.0
gene:TraesCS1D03G0012000	Chr1D	3156660	3157255	+	3156957	Chr1D	5795233	5795828	-	5795530	1.0	1.0
gene:TraesCS1D03G0012300	Chr1D	3168296	3169363	-	3168829	Chr1D	5783125	5784192	+	5783658	1.0	1.0
gene:TraesCS1D03G0012400	Chr1D	3168296	3169363	-	3168829	Chr1D	5783125	5784192	+	5783658	1.0	1.0
gene:TraesCS1D03G0012500	Chr1D	3190753	3196211	+	3193482	Chr1D	5756278	5761736	-	5759007	1.0	1.0
gene:TraesCS1D03G0012700	Chr1D	3317114	3318407	+	3317760	Chr1D	5661180	5662474	-	5661827	1.0	1.0
gene:TraesCS1D03G0012800	Chr1D	3350322	3352192	+	3351257	Chr1D	5627490	5629360	-	5628425	1.0	1.0
gene:TraesCS1D03G0013000	Chr1D	3377746	3382876	+	3380311	Chr1D	5596927	5602057	-	5599492	1.0	1.0
gene:TraesCS1D03G0013100	Chr1D	3429890	3431151	+	3430520	Chr1D	5551596	5552857	-	5552226	1.0	1.0
gene:TraesCS1D03G0013800	Chr1D	3627105	3631812	-	3629458	Chr1D	5353793	5358500	+	5356146	1.0	1.0
gene:TraesCS1D03G0014100	Chr1D	3654017	3654448	+	3654232	Chr1D	5331487	5331918	-	5331702	1.0	1.0
gene:TraesCS1D03G0014200	Chr1D	3667788	3668400	+	3668094	Chr1D	5317790	5318402	-	5318096	1.0	1.0
gene:TraesCS1D03G0014300	Chr1D	3673182	3675464	-	3674323	Chr1D	5310986	5313268	+	5312127	1.0	1.0
gene:TraesCS1D03G0014700	Chr1D	3726798	3728037	+	3727417	Chr1D	5271597	5272836	-	5272216	1.0	1.0
