cs_chr	cs_start	cs_end	Lancer_tgt_chr	Lancer_tgt_start	Lancer_tgt_end	n_anchors	mean_identity
Chr2A	472532	237897856	Chr2A	41318	229248168	2119	0.996407739499764
Chr2A	260439994	260738141	Chr2A	251329914	251605333	4	0.998
Chr2A	283478083	286214975	Chr2A	273668087	276442247	5	0.9986
Chr2A	288400047	290885926	Chr2A	278696193	281281752	5	0.9966000000000002
Chr2A	293418889	298305444	Chr2A	283783793	288609741	7	0.9907142857142858
Chr2A	304709700	310989480	Chr2A	295422209	301830017	8	0.996875
Chr2A	313973952	315420835	Chr2A	304805364	306263491	3	0.9973333333333332
Chr2A	317579841	319393694	Chr2A	308929032	310813179	3	0.976
Chr2A	322290657	328918706	Chr2A	313658601	320390271	12	0.9946666666666668
Chr2A	333879690	338732865	Chr2A	326763508	331673956	10	0.9888
Chr2A	344692562	353369160	Chr2A	339606902	348158715	13	0.9968461538461538
Chr2A	355374656	366697851	Chr2A	350289311	361707770	20	0.99615
Chr2A	368718225	399870506	Chr2A	363082302	393399874	100	0.9948
Chr2A	404353227	404817648	Chr2A	397839089	398028767	3	0.9943333333333334
Chr2A	409607272	490304153	Chr2A	402913740	483318314	265	0.9965811320754716
Chr2A	492634434	551591979	Chr2A	485639152	543289698	315	0.9957809523809524
Chr2A	553651491	771361125	Chr2A	545330148	766207523	2295	0.9960313725490196
Chr2A	774712721	778470239	Chr2A	766268322	769329995	35	0.9979714285714284
