cs_chr	cs_start	cs_end	Lancer_tgt_chr	Lancer_tgt_start	Lancer_tgt_end	n_anchors	mean_identity
Chr4D	410644	141272747	Chr4D	17984	140530403	1411	0.9991063075832743
Chr4D	143939177	159173700	Chr4D	143189383	158400349	18	0.9915555555555555
Chr4D	163710731	183649096	Chr4D	162776813	182516366	27	0.9997407407407408
Chr4D	188969484	192971731	Chr4D	189115172	193105720	6	0.9996666666666666
Chr4D	195239705	198785582	Chr4D	195377164	198849069	7	0.9997142857142858
Chr4D	201663396	212424003	Chr4D	202043513	213122709	27	0.9997037037037038
Chr4D	214566503	228344802	Chr4D	215225978	228953767	23	0.9988260869565219
Chr4D	230503918	238850566	Chr4D	231150889	239434720	11	0.9995454545454546
Chr4D	241150325	249170093	Chr4D	241725600	249706778	18	0.9994999999999999
Chr4D	251744642	256746015	Chr4D	252276783	257264588	7	0.9904285714285714
Chr4D	259082246	261473317	Chr4D	259567332	261944295	6	0.9998333333333335
Chr4D	264155329	268258812	Chr4D	264620799	268691879	7	0.9982857142857142
Chr4D	270831155	284417863	Chr4D	271257993	284776983	19	0.9976315789473683
Chr4D	286726699	329466878	Chr4D	287062219	329746117	223	0.9990493273542601
Chr4D	331779306	375686787	Chr4D	332052869	375704272	303	0.9996996699669967
Chr4D	377775997	410310201	Chr4D	377754145	410760556	236	0.9992372881355932
Chr4D	412602740	505667658	Chr4D	413159332	506331656	1077	0.9990984215413184
Chr4D	432245463	433033564	Chr4D	438724565	439512727	8	0.998375
