gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Lancer_tgt_chr	Lancer_tgt_start	Lancer_tgt_end	Lancer_tgt_strand	Lancer_tgt_midpoint	Lancer_coverage	Lancer_identity
gene:TraesCS2D03G0000100	Chr2D	80423	88053	+	84238	Chr2D	86387	94033	+	90210	1.0	0.999
gene:TraesCS2D03G0000200	Chr2D	89594	93032	-	91313	Chr2D	95574	98994	-	97284	0.993	0.993
gene:TraesCS2D03G0000300	Chr2D	103714	104259	-	103986	Chr2D	109940	110485	-	110212	1.0	1.0
gene:TraesCS2D03G0000400	Chr2D	302821	307159	+	304990	Chr2D	309109	313447	+	311278	1.0	1.0
gene:TraesCS2D03G0000700	Chr2D	324320	325720	+	325020	Chr2D	330519	331919	+	331219	1.0	1.0
gene:TraesCS2D03G0000800	Chr2D	328026	333944	-	330985	Chr2D	334055	339973	-	337014	1.0	1.0
gene:TraesCS2D03G0000900	Chr2D	378562	379694	-	379128	Chr2D	384600	385732	-	385166	1.0	1.0
gene:TraesCS2D03G0001000	Chr2D	392241	395710	+	393975	Chr2D	398541	402010	+	400275	1.0	1.0
gene:TraesCS2D03G0001300	Chr2D	402281	404837	+	403559	Chr2D	408581	411137	+	409859	1.0	1.0
gene:TraesCS2D03G0001400	Chr2D	465877	484345	+	475111	Chr2D	472845	491434	+	482139	1.0	0.999
gene:TraesCS2D03G0001500	Chr2D	512185	513105	+	512645	Chr2D	519105	520025	+	519565	1.0	1.0
gene:TraesCS2D03G0001600	Chr2D	517999	519840	+	518919	Chr2D	526517	528358	+	527437	1.0	1.0
gene:TraesCS2D03G0001800	Chr2D	675239	678446	+	676842	Chr2D	684116	687323	+	685719	1.0	1.0
gene:TraesCS2D03G0001900	Chr2D	679143	683010	-	681076	Chr2D	688020	691887	-	689953	1.0	1.0
gene:TraesCS2D03G0002000	Chr2D	685135	687301	+	686218	Chr2D	694012	696178	+	695095	1.0	1.0
gene:TraesCS2D03G0002400	Chr2D	1649503	1653274	-	1651388	Chr2D	1633742	1637513	-	1635627	1.0	1.0
gene:TraesCS2D03G0002600	Chr2D	1713950	1716334	+	1715142	Chr2D	1695793	1698177	+	1696985	1.0	1.0
gene:TraesCS2D03G0002700	Chr2D	1727399	1735511	+	1731455	Chr2D	1709230	1719139	+	1714184	1.0	1.0
gene:TraesCS2D03G0002800	Chr2D	1746682	1747581	+	1747131	Chr2D	1730334	1731233	+	1730783	1.0	0.998
gene:TraesCS2D03G0003100	Chr2D	1762395	1762988	+	1762691	Chr2D	1746222	1746815	+	1746518	1.0	1.0
gene:TraesCS2D03G0003300	Chr2D	1783898	1784497	+	1784197	Chr2D	1767902	1768501	+	1768201	1.0	1.0
