gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Lancer_tgt_chr	Lancer_tgt_start	Lancer_tgt_end	Lancer_tgt_strand	Lancer_tgt_midpoint	Lancer_coverage	Lancer_identity
gene:TraesCS5B03G0000300	Chr5B	16033	21153	+	18593	Chr5B	7467546	7472670	-	7470108	1.0	1.0
gene:TraesCS5B03G0000800	Chr5B	85900	87414	-	86657	Chr5B	7384621	7386135	+	7385378	1.0	1.0
gene:TraesCS5B03G0000900	Chr5B	208601	214218	+	211409	Chr5B	7257590	7263207	-	7260398	1.0	1.0
gene:TraesCS5B03G0001100	Chr5B	214767	217901	-	216334	Chr5B	7253904	7257041	+	7255472	1.0	0.999
gene:TraesCS5B03G0001200	Chr5B	227704	231809	+	229756	Chr5B	7239928	7244101	-	7242014	1.0	0.997
gene:TraesCS5B03G0001300	Chr5B	606261	606584	-	606422	Chr5B	6782486	6782809	-	6782647	1.0	1.0
gene:TraesCS5B03G0001600	Chr5B	1005121	1009642	+	1007381	Chr5B	7903579	7908102	-	7905840	1.0	1.0
gene:TraesCS5B03G0001700	Chr5B	1104112	1106464	+	1105288	Chr5B	7804696	7807048	-	7805872	1.0	1.0
gene:TraesCS5B03G0001800	Chr5B	1110422	1112273	-	1111347	Chr5B	7798885	7800738	+	7799811	1.0	1.0
gene:TraesCS5B03G0001900	Chr5B	1209448	1212378	+	1210913	Chr5B	7698995	7701925	-	7700460	1.0	1.0
gene:TraesCS5B03G0002100	Chr5B	1405738	1406672	+	1406205	Chr5B	7485045	7485979	-	7485512	1.0	1.0
gene:TraesCS5B03G0002200	Chr5B	1420063	1425391	-	1422727	Chr5B	2671403	2676561	-	2673982	0.965	0.965
gene:TraesCS5B03G0002300	Chr5B	1427312	1431238	+	1429275	Chr5B	2678482	2682408	+	2680445	1.0	1.0
gene:TraesCS5B03G0002900	Chr5B	2118597	2118959	-	2118778	Chr5B	801596	801958	-	801777	1.0	1.0
gene:TraesCS5B03G0003000	Chr5B	2119731	2120270	+	2120000	Chr5B	802730	803269	+	802999	1.0	1.0
gene:TraesCS5B03G0003200	Chr5B	2256442	2262369	+	2259405	Chr5B	938924	944851	+	941887	1.0	1.0
gene:TraesCS5B03G0003500	Chr5B	2311597	2312335	+	2311966	Chr5B	992657	993395	+	993026	1.0	1.0
gene:TraesCS5B03G0003700	Chr5B	2316821	2328979	+	2322900	Chr5B	997881	1009912	+	1003896	1.0	1.0
gene:TraesCS5B03G0003800	Chr5B	2702541	2703727	-	2703134	Chr5B	1383300	1384486	-	1383893	1.0	1.0
gene:TraesCS5B03G0003900	Chr5B	2728736	2729284	+	2729010	Chr5B	1409691	1410239	+	1409965	1.0	1.0
gene:TraesCS5B03G0004100	Chr5B	3293517	3295022	-	3294269	Chr5B	1918181	1919686	-	1918933	1.0	1.0
gene:TraesCS5B03G0004200	Chr5B	3371571	3373018	-	3372294	Chr5B	1995310	1996757	-	1996033	1.0	1.0
gene:TraesCS5B03G0004400	Chr5B	3564118	3565596	+	3564857	Chr5B	2186112	2187590	+	2186851	1.0	1.0
gene:TraesCS5B03G0004500	Chr5B	3593228	3597197	-	3595212	Chr5B	2215018	2218987	-	2217002	1.0	1.0
gene:TraesCS5B03G0004600	Chr5B	3603885	3607681	+	3605783	Chr5B	2225677	2229473	+	2227575	1.0	1.0
gene:TraesCS5B03G0004700	Chr5B	3614607	3619532	+	3617069	Chr5B	2236399	2241189	+	2238794	1.0	0.999
gene:TraesCS5B03G0004800	Chr5B	4221282	4227412	-	4224347	Chr5B	3643115	3649277	-	3646196	1.0	1.0
gene:TraesCS5B03G0005300	Chr5B	4269528	4272513	-	4271020	Chr5B	3691321	3694306	-	3692813	1.0	1.0
gene:TraesCS5B03G0005500	Chr5B	4505697	4508188	+	4506942	Chr5B	4004486	4006977	+	4005731	1.0	0.999
gene:TraesCS5B03G0005800	Chr5B	4542237	4546889	-	4544563	Chr5B	4039497	4044149	-	4041823	1.0	1.0
gene:TraesCS5B03G0006200	Chr5B	4719192	4725126	+	4722159	Chr5B	4215343	4221275	+	4218309	1.0	1.0
gene:TraesCS5B03G0006300	Chr5B	4727039	4730071	-	4728555	Chr5B	4223047	4226079	-	4224563	1.0	1.0
