gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Lancer_tgt_chr	Lancer_tgt_start	Lancer_tgt_end	Lancer_tgt_strand	Lancer_tgt_midpoint	Lancer_coverage	Lancer_identity
gene:TraesCS6A03G0000400	Chr6A	117718	120689	-	119203	Chr6A	1665221	1668189	+	1666705	0.998	0.994
gene:TraesCS6A03G0000500	Chr6A	120701	122577	-	121639	Chr6A	1663334	1665209	+	1664271	0.999	0.996
gene:TraesCS6A03G0000900	Chr6A	298705	305357	-	302031	Chr6A	1470250	1476911	+	1473580	1.0	0.994
gene:TraesCS6A03G0001000	Chr6A	350333	351902	-	351117	Chr6A	1425072	1426641	+	1425856	1.0	0.997
gene:TraesCS6A03G0001200	Chr6A	1092697	1097130	+	1094913	Chr6A	978031	982457	+	980244	0.994	0.975
gene:TraesCS6A03G0001400	Chr6A	1270594	1272612	-	1271603	Chr6A	500442	502504	+	501473	1.0	0.969
gene:TraesCS6A03G0001500	Chr6A	1298952	1300428	-	1299690	Chr6A	472503	473979	+	473241	1.0	0.996
gene:TraesCS6A03G0001800	Chr6A	1330327	1332348	+	1331337	Chr6A	429969	431985	-	430977	0.997	0.992
gene:TraesCS6A03G0002000	Chr6A	1392825	1393762	+	1393293	Chr6A	368579	369515	-	369047	1.0	0.993
gene:TraesCS6A03G0002100	Chr6A	1401147	1405507	-	1403327	Chr6A	354596	359019	+	356807	0.986	0.965
gene:TraesCS6A03G0002200	Chr6A	1413772	1418469	+	1416120	Chr6A	313888	318400	-	316144	1.0	0.993
gene:TraesCS6A03G0002300	Chr6A	1427419	1428465	-	1427942	Chr6A	304265	305311	+	304788	1.0	0.993
gene:TraesCS6A03G0002400	Chr6A	1434457	1434844	+	1434650	Chr6A	297877	298264	-	298070	1.0	1.0
gene:TraesCS6A03G0002600	Chr6A	1442347	1442844	-	1442595	Chr6A	289851	290348	+	290099	1.0	0.996
gene:TraesCS6A03G0002700	Chr6A	1444853	1445827	+	1445340	Chr6A	286888	287862	-	287375	0.987	0.959
gene:TraesCS6A03G0003000	Chr6A	1535307	1542220	+	1538763	Chr6A	260344	267249	-	263796	1.0	0.994
gene:TraesCS6A03G0003100	Chr6A	1544392	1548820	-	1546606	Chr6A	249898	254347	+	252122	0.999	0.997
gene:TraesCS6A03G0003300	Chr6A	1558341	1564627	+	1561484	Chr6A	234339	240617	-	237478	0.997	0.979
gene:TraesCS6A03G0003500	Chr6A	1571628	1573212	-	1572420	Chr6A	225621	227205	+	226413	1.0	0.998
gene:TraesCS6A03G0003600	Chr6A	1584804	1587503	+	1586153	Chr6A	211386	214318	-	212852	1.0	0.998
gene:TraesCS6A03G0004000	Chr6A	1668400	1669257	+	1668828	Chr6A	133539	134459	-	133999	1.0	0.917
gene:TraesCS6A03G0004300	Chr6A	1712278	1718977	+	1715627	Chr6A	42384	48971	-	45677	0.995	0.978
gene:TraesCS6A03G0004400	Chr6A	1717372	1719718	-	1718545	Chr6A	41658	43996	+	42827	0.978	0.949
gene:TraesCS6A03G0004500	Chr6A	1720510	1722005	-	1721257	Chr6A	39300	40837	+	40068	1.0	0.991
gene:TraesCS6A03G0004800	Chr6A	1722453	1727315	-	1724884	Chr6A	33897	38815	+	36356	0.996	0.962
gene:TraesCS6A03G0004900	Chr6A	1735764	1739970	+	1737867	Chr6A	2775	6978	-	4876	1.0	0.996
gene:TraesCS6A03G0006500	Chr6A	2049229	2059125	-	2054177	Chr6A	1892973	1903015	-	1897994	0.999	0.997
gene:TraesCS6A03G0006700	Chr6A	2144282	2144913	+	2144597	Chr6A	1975093	1975657	+	1975375	1.0	0.994
gene:TraesCS6A03G0007100	Chr6A	2203802	2204371	+	2204086	Chr6A	2012067	2012625	+	2012346	1.0	0.988
gene:TraesCS6A03G0007500	Chr6A	2212597	2221548	-	2217072	Chr6A	2021916	2030993	-	2026454	1.0	0.994
gene:TraesCS6A03G0007800	Chr6A	2268384	2269573	+	2268978	Chr6A	2119105	2120297	+	2119701	1.0	0.988
gene:TraesCS6A03G0007900	Chr6A	2282496	2284138	-	2283317	Chr6A	2134507	2136114	-	2135310	0.976	0.961
gene:TraesCS6A03G0008200	Chr6A	2360136	2366375	+	2363255	Chr6A	2155138	2156424	+	2155781	0.986	0.982
gene:TraesCS6A03G0009100	Chr6A	2436943	2441208	+	2439075	Chr6A	2164820	2169726	+	2167273	1.0	0.998
gene:TraesCS6A03G0009400	Chr6A	2451784	2453964	+	2452874	Chr6A	2180575	2182755	+	2181665	1.0	0.998
gene:TraesCS6A03G0009500	Chr6A	2472064	2474776	+	2473420	Chr6A	2186908	2189588	+	2188248	0.984	0.977
gene:TraesCS6A03G0010100	Chr6A	2492564	2499034	+	2495799	Chr6A	2263957	2270432	+	2267194	0.999	0.992
