gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Lancer_tgt_chr	Lancer_tgt_start	Lancer_tgt_end	Lancer_tgt_strand	Lancer_tgt_midpoint	Lancer_coverage	Lancer_identity
gene:TraesCS3A03G0002400	Chr3A	721607	725654	-	723630	Chr3A	349274	353319	+	351296	0.998	0.997
gene:TraesCS3A03G0002600	Chr3A	730535	733253	-	731894	Chr3A	341757	344475	+	343116	1.0	0.998
gene:TraesCS3A03G0002700	Chr3A	747197	753779	+	750488	Chr3A	300074	306581	-	303327	0.967	0.953
gene:TraesCS3A03G0002800	Chr3A	762529	765599	+	764064	Chr3A	291305	294467	-	292886	1.0	0.982
gene:TraesCS3A03G0003000	Chr3A	954676	957962	+	956319	Chr3A	131576	134860	-	133218	1.0	0.998
gene:TraesCS3A03G0003300	Chr3A	983733	985531	+	984632	Chr3A	104198	106063	-	105130	0.97	0.958
gene:TraesCS3A03G0003600	Chr3A	1030844	1033134	+	1031989	Chr3A	58252	60542	-	59397	1.0	0.993
gene:TraesCS3A03G0004000	Chr3A	1075288	1077959	+	1076623	Chr3A	13448	16047	-	14747	0.972	0.97
gene:TraesCS3A03G0013800	Chr3A	6965742	6973314	-	6969528	Chr3A	3120275	3129961	-	3125118	0.934	0.913
gene:TraesCS3A03G0014100	Chr3A	7195252	7195989	-	7195620	Chr3A	3261087	3261824	-	3261455	1.0	0.995
gene:TraesCS3A03G0014200	Chr3A	7201106	7201878	-	7201492	Chr3A	3266901	3267680	-	3267290	1.0	0.987
gene:TraesCS3A03G0014500	Chr3A	7235692	7236321	+	7236006	Chr3A	3285984	3286613	+	3286298	1.0	0.98
gene:TraesCS3A03G0014600	Chr3A	7271218	7272481	-	7271849	Chr3A	3313081	3314343	-	3313712	0.999	0.996
gene:TraesCS3A03G0014700	Chr3A	7285296	7286069	-	7285682	Chr3A	3335594	3336367	-	3335980	1.0	0.998
gene:TraesCS3A03G0014800	Chr3A	7323919	7329828	+	7326873	Chr3A	3373115	3379027	+	3376071	1.0	0.995
gene:TraesCS3A03G0015200	Chr3A	7342556	7344335	-	7343445	Chr3A	3391817	3393597	-	3392707	1.0	0.997
gene:TraesCS3A03G0015300	Chr3A	7348215	7349429	-	7348822	Chr3A	3472200	3473414	-	3472807	1.0	0.999
gene:TraesCS3A03G0015600	Chr3A	7363585	7366969	+	7365277	Chr3A	3487805	3491224	+	3489514	0.948	0.947
gene:TraesCS3A03G0015800	Chr3A	7380064	7383852	-	7381958	Chr3A	3507471	3511255	-	3509363	0.997	0.991
gene:TraesCS3A03G0016000	Chr3A	7452849	7457127	-	7454988	Chr3A	3574006	3578380	-	3576193	0.996	0.949
gene:TraesCS3A03G0016300	Chr3A	7500062	7500565	-	7500313	Chr3A	3600701	3601204	-	3600952	1.0	0.998
gene:TraesCS3A03G0016400	Chr3A	7504661	7506864	-	7505762	Chr3A	3605339	3607551	-	3606445	0.997	0.983
gene:TraesCS3A03G0016800	Chr3A	7541942	7543943	-	7542942	Chr3A	3642350	3644369	-	3643359	0.998	0.973
gene:TraesCS3A03G0017200	Chr3A	7711376	7711747	+	7711561	Chr3A	3800698	3801069	+	3800883	1.0	0.991
gene:TraesCS3A03G0017400	Chr3A	7713418	7714814	+	7714116	Chr3A	3803559	3804931	+	3804245	0.969	0.949
