gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Lancer_tgt_chr	Lancer_tgt_start	Lancer_tgt_end	Lancer_tgt_strand	Lancer_tgt_midpoint	Lancer_coverage	Lancer_identity	segment
gene:TraesCS4B03G0000300	Chr4B	232361	233964	-	233162	Chr4B	248469	250035	-	249252	0.958	0.92	collinear
gene:TraesCS4B03G0000400	Chr4B	234311	235908	-	235109	Chr4B	250382	251979	-	251180	1.0	0.997	collinear
gene:TraesCS4B03G0000500	Chr4B	630437	634424	+	632430	Chr4B	653406	657377	+	655391	1.0	0.999	collinear
gene:TraesCS4B03G0000600	Chr4B	635301	639416	-	637358	Chr4B	658256	662141	-	660198	0.915	0.915	collinear
gene:TraesCS4B03G0000700	Chr4B	689726	690943	+	690334	Chr4B	712520	713734	+	713127	0.985	0.969	collinear
gene:TraesCS4B03G0000900	Chr4B	691894	697186	-	694540	Chr4B	715156	720483	-	717819	1.0	0.987	collinear
gene:TraesCS4B03G0001100	Chr4B	707693	710911	+	709302	Chr4B	740221	743439	+	741830	1.0	0.998	collinear
gene:TraesCS4B03G0001400	Chr4B	754576	755193	+	754884	Chr4B	789076	789693	+	789384	1.0	0.995	collinear
gene:TraesCS4B03G0001500	Chr4B	816760	817386	-	817073	Chr4B	839376	840002	-	839689	1.0	0.984	collinear
gene:TraesCS4B03G0001700	Chr4B	849504	850496	-	850000	Chr4B	882406	883398	-	882902	1.0	0.994	collinear
gene:TraesCS4B03G0001800	Chr4B	871710	872102	+	871906	Chr4B	940611	941003	+	940807	1.0	0.984	collinear
gene:TraesCS4B03G0001900	Chr4B	895192	896810	+	896001	Chr4B	963772	965318	+	964545	0.943	0.919	collinear
gene:TraesCS4B03G0002000	Chr4B	895341	896708	-	896024	Chr4B	963921	965288	-	964604	1.0	0.968	collinear
gene:TraesCS4B03G0002100	Chr4B	902508	905787	+	904147	Chr4B	966570	969850	+	968210	1.0	0.998	collinear
gene:TraesCS4B03G0002200	Chr4B	1124957	1126970	+	1125963	Chr4B	1173679	1175692	+	1174685	1.0	0.998	collinear
gene:TraesCS4B03G0002400	Chr4B	1138844	1139764	+	1139304	Chr4B	1187650	1188570	+	1188110	1.0	0.994	collinear
gene:TraesCS4B03G0002500	Chr4B	1141387	1143114	-	1142250	Chr4B	1190229	1191974	-	1191101	1.0	0.996	collinear
gene:TraesCS4B03G0002700	Chr4B	1144783	1145893	+	1145338	Chr4B	1193643	1194815	+	1194229	0.996	0.922	collinear
gene:TraesCS4B03G0002900	Chr4B	1291719	1293491	+	1292605	Chr4B	1309703	1311473	+	1310588	0.998	0.998	collinear
gene:TraesCS4B03G0003100	Chr4B	1304995	1306038	+	1305516	Chr4B	1323071	1324114	+	1323592	1.0	1.0	collinear
gene:TraesCS4B03G0003200	Chr4B	1322700	1324740	+	1323720	Chr4B	1340779	1342822	+	1341800	1.0	0.997	collinear
gene:TraesCS4B03G0003300	Chr4B	1336993	1338899	+	1337946	Chr4B	1355075	1356981	+	1356028	1.0	1.0	collinear
gene:TraesCS4B03G0003400	Chr4B	1351991	1352386	-	1352188	Chr4B	1370074	1370469	-	1370271	1.0	1.0	collinear
gene:TraesCS4B03G0003600	Chr4B	1386123	1388841	+	1387482	Chr4B	1403965	1406683	+	1405324	1.0	1.0	collinear
