cs_chr	cs_start	cs_end	Lancer_tgt_chr	Lancer_tgt_start	Lancer_tgt_end	n_anchors	mean_identity
Chr3B	2609619	6805777	Chr3B	8764397	12648791	89	0.9925730337078652
Chr3B	10012714	14278368	Chr3B	2369028	11361916	33	0.953181818181818
Chr3B	17050813	17816307	Chr3B	5799853	6360670	6	0.9378333333333334
Chr3B	20046939	35806565	Chr3B	15147977	32717658	219	0.9930730593607306
Chr3B	38137652	97070979	Chr3B	33906855	91768890	529	0.9928695652173914
Chr3B	99457041	202823600	Chr3B	94130366	197784526	589	0.9964651952461798
Chr3B	205572654	206704475	Chr3B	202317096	203484920	8	0.998
Chr3B	209383926	219278363	Chr3B	204554411	214454037	77	0.9952727272727272
Chr3B	223825022	226529934	Chr3B	219245067	221702098	11	0.9937272727272728
Chr3B	230843333	241641396	Chr3B	224905070	235658085	50	0.99036
Chr3B	247259756	288293953	Chr3B	241027351	283076081	191	0.9946596858638744
Chr3B	295003050	296080909	Chr3B	289879300	290992052	4	0.9985
Chr3B	301146877	307711148	Chr3B	291161636	301587383	7	0.9915714285714288
Chr3B	310640808	329207761	Chr3B	305047730	324987496	22	0.9968636363636366
Chr3B	333847811	350060262	Chr3B	329641422	346514093	24	0.9940416666666666
Chr3B	352247049	375781155	Chr3B	348711316	378756742	44	0.9956363636363634
Chr3B	382017218	388195888	Chr3B	381742403	387876586	30	0.9907666666666668
Chr3B	392628390	416556469	Chr3B	391998320	419251321	97	0.997319587628866
Chr3B	418922290	479798592	Chr3B	419690951	480432902	356	0.9965365168539324
Chr3B	482733323	527781257	Chr3B	484380213	527824784	253	0.9935335968379448
Chr3B	534629765	848602671	Chr3B	528067270	839018955	2501	0.9934834066373452
