gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Lancer_tgt_chr	Lancer_tgt_start	Lancer_tgt_end	Lancer_tgt_strand	Lancer_tgt_midpoint	Lancer_coverage	Lancer_identity	segment
gene:TraesCS6D03G0009700	Chr6D	1889545	1890474	-	1890009	Chr6D	11553638	11554567	+	11554102	1.0	1.0	rearrangement:Chr6D_block1
gene:TraesCS6D03G0010300	Chr6D	1964939	1967513	+	1966226	Chr6D	11477220	11479794	-	11478507	1.0	1.0	rearrangement:Chr6D_block1
gene:TraesCS6D03G0010400	Chr6D	1983644	1984738	-	1984191	Chr6D	11459987	11461081	+	11460534	1.0	1.0	rearrangement:Chr6D_block1
gene:TraesCS6D03G0010500	Chr6D	2015616	2022835	+	2019225	Chr6D	11421789	11429059	-	11425424	1.0	1.0	rearrangement:Chr6D_block1
gene:TraesCS6D03G0010600	Chr6D	2032784	2037081	-	2034932	Chr6D	11407543	11411840	+	11409691	1.0	1.0	rearrangement:Chr6D_block1
gene:TraesCS6D03G0010700	Chr6D	2052300	2059460	+	2055880	Chr6D	11385164	11392323	-	11388743	1.0	0.999	rearrangement:Chr6D_block1
gene:TraesCS6D03G0010800	Chr6D	2065479	2067149	+	2066314	Chr6D	11377475	11379145	-	11378310	1.0	1.0	rearrangement:Chr6D_block1
gene:TraesCS6D03G0010900	Chr6D	2081888	2088204	+	2085046	Chr6D	11356311	11362627	-	11359469	1.0	0.999	rearrangement:Chr6D_block1
gene:TraesCS6D03G0011000	Chr6D	2091320	2092937	-	2092128	Chr6D	11351578	11353195	+	11352386	1.0	1.0	rearrangement:Chr6D_block1
gene:TraesCS6D03G0011100	Chr6D	2118955	2121958	+	2120456	Chr6D	11322550	11325553	-	11324051	1.0	1.0	rearrangement:Chr6D_block1
gene:TraesCS6D03G0011300	Chr6D	2151178	2151584	+	2151381	Chr6D	11292760	11293166	-	11292963	1.0	1.0	rearrangement:Chr6D_block1
gene:TraesCS6D03G0011500	Chr6D	2153707	2155826	+	2154766	Chr6D	11288528	11290647	-	11289587	1.0	1.0	rearrangement:Chr6D_block1
gene:TraesCS6D03G0011700	Chr6D	2223820	2229371	+	2226595	Chr6D	11216218	11221769	-	11218993	1.0	0.999	rearrangement:Chr6D_block1
gene:TraesCS6D03G0011800	Chr6D	2230085	2234438	-	2232261	Chr6D	11211149	11215504	+	11213326	1.0	1.0	rearrangement:Chr6D_block1
gene:TraesCS6D03G0012000	Chr6D	2248880	2253420	+	2251150	Chr6D	11192168	11196708	-	11194438	1.0	1.0	rearrangement:Chr6D_block1
gene:TraesCS6D03G0012100	Chr6D	2253761	2256109	+	2254935	Chr6D	11189479	11191827	-	11190653	1.0	1.0	rearrangement:Chr6D_block1
gene:TraesCS6D03G0012200	Chr6D	2256122	2258291	+	2257206	Chr6D	11187297	11189466	-	11188381	1.0	1.0	rearrangement:Chr6D_block1
gene:TraesCS6D03G0012400	Chr6D	2258250	2263550	-	2260900	Chr6D	11182044	11187338	+	11184691	0.995	0.987	rearrangement:Chr6D_block1
gene:TraesCS6D03G0012600	Chr6D	2304145	2310167	-	2307156	Chr6D	11135236	11141254	+	11138245	0.999	0.998	rearrangement:Chr6D_block1
gene:TraesCS6D03G0012700	Chr6D	2317605	2319881	-	2318743	Chr6D	11125399	11127675	+	11126537	1.0	1.0	rearrangement:Chr6D_block1
gene:TraesCS6D03G0012800	Chr6D	2336946	2340619	-	2338782	Chr6D	11103367	11107007	+	11105187	0.998	0.99	rearrangement:Chr6D_block1
gene:TraesCS6D03G0012900	Chr6D	2381888	2391593	+	2386740	Chr6D	11053112	11062818	-	11057965	1.0	0.998	rearrangement:Chr6D_block1
gene:TraesCS6D03G0013100	Chr6D	2420566	2421251	+	2420908	Chr6D	11005855	11006540	-	11006197	1.0	1.0	rearrangement:Chr6D_block1
gene:TraesCS6D03G0014100	Chr6D	2650839	2652374	-	2651606	Chr6D	10869086	10870621	+	10869853	1.0	0.995	rearrangement:Chr6D_block1
gene:TraesCS6D03G0014800	Chr6D	2817020	2819252	+	2818136	Chr6D	10692422	10694654	-	10693538	1.0	0.999	rearrangement:Chr6D_block1
gene:TraesCS6D03G0014900	Chr6D	2831086	2832280	+	2831683	Chr6D	10679215	10680409	-	10679812	1.0	1.0	rearrangement:Chr6D_block1
