cs_chr	cs_start	cs_end	Lancer_tgt_chr	Lancer_tgt_start	Lancer_tgt_end	n_anchors	mean_identity
Chr6D	1890009	6304096	Chr6D	7451993	11554102	99	0.9983737373737374
Chr6D	6461548	27630303	Chr6D	10684	24517767	407	0.9991941031941033
Chr6D	32741204	33804533	Chr6D	25366303	26417125	22	0.9998636363636364
Chr6D	52787044	54272397	Chr6D	28982394	30447639	11	1.0
Chr6D	64544097	186375773	Chr6D	38373835	159699786	946	0.9991458773784355
Chr6D	188380630	235958205	Chr6D	161664781	208361337	75	0.9998533333333334
Chr6D	238222872	248745870	Chr6D	210827125	221313504	14	0.9993571428571428
Chr6D	253451229	261093398	Chr6D	226012036	233607402	12	0.9999166666666667
Chr6D	263489417	302615547	Chr6D	236006174	276001804	142	0.9988098591549295
Chr6D	304859324	436495956	Chr6D	278231073	408808382	1029	0.9995481049562683
Chr6D	439160889	494362371	Chr6D	411447990	465544146	906	0.9954547461368655
