cs_chr	cs_start	cs_end	Lancer_tgt_chr	Lancer_tgt_start	Lancer_tgt_end	n_anchors	mean_identity
Chr1B	706647	22656889	Chr1B	880562	22829572	285	0.9891543859649122
Chr1B	24836150	31339892	Chr1B	22908225	30368270	65	0.9921076923076922
Chr1B	34045861	38402288	Chr1B	32055666	36379952	29	0.9936551724137931
Chr1B	40611674	81974218	Chr1B	36957062	77632173	288	0.9952187499999999
Chr1B	86536803	91210816	Chr1B	82573666	87229086	16	0.9901249999999999
Chr1B	93460686	224268457	Chr1B	89382960	219105604	586	0.9985034129692831
Chr1B	234262367	237016478	Chr1B	228488980	231237453	5	0.9992000000000001
Chr1B	246841035	249142619	Chr1B	244017775	246313686	6	0.9998333333333332
Chr1B	251958660	252999271	Chr1B	250251593	251279022	5	0.9996
Chr1B	255242794	272283175	Chr1B	253479699	271809362	44	0.9986818181818182
Chr1B	274419536	296088628	Chr1B	273937190	295016290	76	0.9991710526315791
Chr1B	298738700	298817103	Chr1B	297651762	297730304	5	1.0
Chr1B	301350787	310018863	Chr1B	300228628	309020659	41	0.993341463414634
Chr1B	312408455	324212763	Chr1B	309272396	323240123	47	0.9945957446808511
Chr1B	328166615	700379038	Chr1B	323647479	688862875	2752	0.9950406976744186
