cs_chr	cs_start	cs_end	Lancer_tgt_chr	Lancer_tgt_start	Lancer_tgt_end	n_anchors	mean_identity
Chr3D	111986	116955327	Chr3D	398283	120431346	1449	0.9989054520358868
Chr3D	119094314	145655212	Chr3D	122560964	148943880	159	0.9995157232704402
Chr3D	147725835	194192900	Chr3D	150889723	197167006	262	0.999034351145038
Chr3D	197544325	200969144	Chr3D	200459673	203876075	5	1.0
Chr3D	203187169	203224239	Chr3D	206324748	206361054	4	0.99925
Chr3D	207531742	214535149	Chr3D	210698414	217606864	11	0.9991818181818182
Chr3D	216957444	220088873	Chr3D	220020680	223131398	6	1.0
Chr3D	226016244	232933791	Chr3D	229227157	236114184	13	0.9996153846153848
Chr3D	235055553	258632836	Chr3D	238223588	261333768	42	0.9994761904761904
Chr3D	260879965	492833467	Chr3D	263578954	494605995	1665	0.9992456456456458
Chr3D	495347019	571894878	Chr3D	497220649	572102092	874	0.9991601830663616
Chr3D	574320863	600326215	Chr3D	572246237	603766607	355	0.995323943661972
