cs_chr	cs_start	cs_end	Lancer_tgt_chr	Lancer_tgt_start	Lancer_tgt_end	n_anchors	mean_identity
Chr2B	31439	130848155	Chr2B	157557	115027829	1170	0.9847128205128204
Chr2B	136259240	194459440	Chr2B	115921569	164816410	356	0.9700365168539326
Chr2B	196604960	211003478	Chr2B	164951378	178086727	78	0.9688717948717948
Chr2B	213718220	248272484	Chr2B	178234354	217824188	182	0.970846153846154
Chr2B	251308799	273606444	Chr2B	218513494	237116247	97	0.9695154639175256
Chr2B	275772401	279911809	Chr2B	238296931	242394195	7	0.9804285714285712
Chr2B	285698445	288426514	Chr2B	252851328	256160993	4	0.99075
Chr2B	291518000	298249790	Chr2B	262106197	278193566	9	0.9742222222222224
Chr2B	301712176	304609294	Chr2B	250377901	271042722	7	0.9724285714285716
Chr2B	307417042	311093602	Chr2B	248820360	269624862	4	0.99075
Chr2B	313513906	322709470	Chr2B	266102425	299167418	9	0.9845555555555556
Chr2B	342997626	346552298	Chr2B	282369403	313450629	6	0.9773333333333332
Chr2B	352577205	355740303	Chr2B	297268597	303136064	3	0.9486666666666668
Chr2B	360072831	363706950	Chr2B	284655539	320312547	4	0.982
Chr2B	365734406	378564864	Chr2B	328724383	345310225	47	0.9750212765957448
Chr2B	380769548	509114546	Chr2B	325300502	444512997	605	0.9722925619834708
Chr2B	511506949	527230910	Chr2B	445740235	459536964	106	0.9731037735849056
Chr2B	529373602	709955346	Chr2B	459704028	583032385	981	0.9617951070336392
Chr2B	712235001	812514692	Chr2B	583479787	671482556	834	0.9744076738609112
