cs_chr	cs_start	cs_end	Lancer_tgt_chr	Lancer_tgt_start	Lancer_tgt_end	n_anchors	mean_identity
Chr4B	233162	86155240	Chr4B	249252	82377442	785	0.996103184713376
Chr4B	88370406	155154630	Chr4B	84603919	150805074	388	0.9991365979381442
Chr4B	157172475	164642854	Chr4B	152812784	160203216	12	0.9998333333333336
Chr4B	167236891	196068742	Chr4B	162793491	191482205	170	0.9997529411764706
Chr4B	198751450	202476297	Chr4B	194453448	198155072	3	1.0
Chr4B	212453315	226695727	Chr4B	207730789	221915368	38	0.9995526315789476
Chr4B	229815313	233299063	Chr4B	225018171	228482079	4	0.999
Chr4B	291502685	291547670	Chr4B	291589191	291634119	4	1.0
Chr4B	294688008	296591676	Chr4B	290126765	294748622	4	1.0
Chr4B	357330117	428374125	Chr4B	352105491	422921912	341	0.9993577712609972
Chr4B	430804721	449953713	Chr4B	425355468	444400189	107	0.9979532710280372
Chr4B	452925265	457351064	Chr4B	446688043	451051665	32	0.999
Chr4B	459635068	673727606	Chr4B	453595188	665061554	1669	0.9961671659676452
