cs_chr	cs_start	cs_end	Lancer_tgt_chr	Lancer_tgt_start	Lancer_tgt_end	n_anchors	mean_identity
Chr6B	4394758	24610781	Chr6B	49166	15752839	210	0.9816142857142858
Chr6B	26731708	33262504	Chr6B	18240925	24787107	95	0.9887684210526316
Chr6B	35795643	109698670	Chr6B	27019480	99371842	626	0.9984041533546325
Chr6B	112200748	114854793	Chr6B	101863709	106798789	7	0.9995714285714286
Chr6B	117445277	246426312	Chr6B	106979841	235812453	734	0.9937234332425069
Chr6B	249274084	259111612	Chr6B	238716349	248349440	29	0.9977931034482759
Chr6B	261263057	268713242	Chr6B	250500357	258178479	30	0.9927333333333334
Chr6B	280387366	289129738	Chr6B	258910367	267406205	39	0.9933589743589744
Chr6B	292829101	296332018	Chr6B	271258865	275479778	16	0.99675
Chr6B	304424565	308701890	Chr6B	287048058	294081273	18	0.9931666666666666
Chr6B	323344757	325667537	Chr6B	303686005	305965908	3	0.9940000000000001
Chr6B	348550830	349949438	Chr6B	333199230	334570508	5	0.9942
Chr6B	375900318	382866904	Chr6B	357432327	364988731	12	0.9965000000000002
Chr6B	410641112	432650099	Chr6B	391797398	413028402	56	0.9975357142857143
Chr6B	438515907	449326149	Chr6B	414296985	424863234	50	0.9978800000000001
Chr6B	452819490	486984757	Chr6B	428279971	464981629	171	0.9964269005847953
Chr6B	502117630	508155265	Chr6B	481024121	487045899	28	0.999642857142857
Chr6B	524252260	629148387	Chr6B	502109910	606345349	644	0.9974627329192547
Chr6B	631157333	635284956	Chr6B	608241288	612282313	32	0.99321875
Chr6B	638657051	706174723	Chr6B	614781634	682837942	621	0.9922157809983896
Chr6B	710179920	731065543	Chr6B	683499130	706937368	221	0.9834162895927601
