cs_chr	cs_start	cs_end	Sumai3_tgt_chr	Sumai3_tgt_start	Sumai3_tgt_end	n_anchors	mean_identity
Chr2B	31439	2963150	Chr2B	12289596	15201010	52	1.0
Chr2B	318431746	331681179	Chr2B	310227866	323480728	17	1.0
Chr2B	333809245	346552298	Chr2B	325717258	338630273	21	1.0
Chr2B	348999066	355740303	Chr2B	341066965	347748788	9	1.0
Chr2B	3194880	8211735	Chr2B	5492023	10433631	106	0.9988113207547169
Chr2B	13185908	34524131	Chr2B	15744340	39668655	321	0.9885077881619937
Chr2B	36635567	131021009	Chr2B	40175676	135124796	844	0.9967464454976303
Chr2B	137271666	248272484	Chr2B	136283198	246856493	773	0.9970595084087969
Chr2B	250482935	283157104	Chr2B	249055376	282085162	144	0.9998680555555555
Chr2B	285496966	304609294	Chr2B	284428336	304863796	29	0.9993103448275862
Chr2B	307417042	310240678	Chr2B	305101050	307920205	4	0.975
Chr2B	365734406	812719815	Chr2B	359834087	805966028	3439	0.9975271881360861
