cs_chr	cs_start	cs_end	Sumai3_tgt_chr	Sumai3_tgt_start	Sumai3_tgt_end	n_anchors	mean_identity
Chr2A	254644	237897856	Chr2A	267023	236023337	2142	0.9972889822595706
Chr2A	260439994	262863052	Chr2A	256876463	259269146	8	0.9975
Chr2A	283478083	286214975	Chr2A	281161591	283925150	5	0.9986
Chr2A	288400047	290885926	Chr2A	286177811	288766888	5	0.9966000000000002
Chr2A	293418889	298305444	Chr2A	291286251	296124816	7	0.9911428571428572
Chr2A	301588230	310989480	Chr2A	298443177	309393299	10	0.9969999999999999
Chr2A	313973952	319393694	Chr2A	312373261	319209648	7	0.9861428571428572
Chr2A	322290657	328918706	Chr2A	322050175	328795894	12	0.9951666666666666
Chr2A	336183568	339973117	Chr2A	334180362	337966180	25	0.9917199999999999
Chr2A	345702682	366697851	Chr2A	346172734	368699271	33	0.9965757575757576
Chr2A	368718225	399870506	Chr2A	370097406	400632781	100	0.9955699999999997
Chr2A	404353227	404860525	Chr2A	405096872	405574883	4	0.99525
Chr2A	410853562	490304153	Chr2A	406569403	486249776	270	0.9972444444444444
Chr2A	492634434	551591979	Chr2A	488567873	546503528	315	0.996063492063492
Chr2A	553651491	786637718	Chr2A	548563698	783770431	2502	0.9956506794564348
