gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Sumai3_tgt_chr	Sumai3_tgt_start	Sumai3_tgt_end	Sumai3_tgt_strand	Sumai3_tgt_midpoint	Sumai3_coverage	Sumai3_identity	segment
gene:TraesCS6D03G0000300	Chr6D	43457	44110	-	43783	Chr6D	4872345	4872998	-	4872671	1.0	1.0	collinear
gene:TraesCS6D03G0000400	Chr6D	52444	52899	+	52671	Chr6D	4881332	4881787	+	4881559	1.0	1.0	collinear
gene:TraesCS6D03G0001000	Chr6D	88938	95787	-	92362	Chr6D	4917259	4924108	-	4920683	1.0	0.999	collinear
gene:TraesCS6D03G0001500	Chr6D	207420	208955	+	208187	Chr6D	5035739	5037274	+	5036506	1.0	1.0	collinear
gene:TraesCS6D03G0001700	Chr6D	219614	221286	-	220450	Chr6D	5047944	5049616	-	5048780	1.0	0.999	collinear
gene:TraesCS6D03G0001900	Chr6D	287212	289249	+	288230	Chr6D	5115533	5117570	+	5116551	1.0	1.0	collinear
gene:TraesCS6D03G0002300	Chr6D	386000	388713	+	387356	Chr6D	5214340	5217053	+	5215696	1.0	1.0	collinear
gene:TraesCS6D03G0002600	Chr6D	395648	398850	-	397249	Chr6D	5223988	5227190	-	5225589	1.0	1.0	collinear
gene:TraesCS6D03G0002800	Chr6D	419600	421134	-	420367	Chr6D	5247922	5249456	-	5248689	1.0	1.0	collinear
gene:TraesCS6D03G0002900	Chr6D	421647	422807	-	422227	Chr6D	5249969	5251129	-	5250549	1.0	1.0	collinear
gene:TraesCS6D03G0003600	Chr6D	487116	490616	-	488866	Chr6D	5315457	5318957	-	5317207	1.0	1.0	collinear
gene:TraesCS6D03G0003700	Chr6D	497323	499555	-	498439	Chr6D	5325664	5327896	-	5326780	1.0	1.0	collinear
gene:TraesCS6D03G0003800	Chr6D	598333	601573	-	599953	Chr6D	5426699	5429939	-	5428319	1.0	0.999	collinear
gene:TraesCS6D03G0004000	Chr6D	674763	675185	-	674974	Chr6D	5503151	5503573	-	5503362	1.0	1.0	collinear
gene:TraesCS6D03G0004600	Chr6D	797280	798536	+	797908	Chr6D	5625181	5626437	+	5625809	1.0	1.0	collinear
gene:TraesCS6D03G0004700	Chr6D	799214	801609	+	800411	Chr6D	5627115	5629510	+	5628312	1.0	1.0	collinear
gene:TraesCS6D03G0005600	Chr6D	959215	959478	+	959346	Chr6D	5811590	5811853	+	5811721	1.0	1.0	collinear
gene:TraesCS6D03G0006800	Chr6D	1364800	1366449	+	1365624	Chr6D	4218004	4219653	-	4218828	1.0	1.0	collinear
gene:TraesCS6D03G0007000	Chr6D	1403764	1407970	-	1405867	Chr6D	3927271	3931477	+	3929374	1.0	0.999	collinear
gene:TraesCS6D03G0007200	Chr6D	1411704	1421963	-	1416833	Chr6D	3913278	3923537	+	3918407	1.0	1.0	collinear
