cs_chr	cs_start	cs_end	Sumai3_tgt_chr	Sumai3_tgt_start	Sumai3_tgt_end	n_anchors	mean_identity
Chr6B	5123	109698670	Chr6B	10750	109856600	1001	0.9913966033966034
Chr6B	112206304	114854793	Chr6B	113164317	115558541	6	0.9875
Chr6B	117445277	246426312	Chr6B	118152178	248777997	781	0.9967516005121638
Chr6B	249274084	259111612	Chr6B	251597109	261265969	30	0.9998666666666668
Chr6B	261263057	268713242	Chr6B	263407716	270881814	32	0.99978125
Chr6B	271066163	271204143	Chr6B	273221418	273359599	6	1.0
Chr6B	273275668	273714013	Chr6B	275422394	275858360	3	0.9993333333333334
Chr6B	275888096	289129738	Chr6B	278138790	291307464	45	0.9998
Chr6B	292829101	298890153	Chr6B	294995917	301457131	23	0.998608695652174
Chr6B	301908638	308701890	Chr6B	304948505	311955946	27	0.9978148148148148
Chr6B	310986731	327439454	Chr6B	314224801	330160536	31	0.9998709677419354
Chr6B	340390557	346252642	Chr6B	347669438	353834821	11	1.0
Chr6B	348550830	349949438	Chr6B	356220640	357608395	5	0.9988
Chr6B	376711447	381551074	Chr6B	383964670	388801588	6	1.0
Chr6B	410641112	435164669	Chr6B	418286842	442684009	60	0.9984833333333332
Chr6B	437584110	449326149	Chr6B	444070652	459376339	52	0.9997692307692309
Chr6B	452819490	486984757	Chr6B	462847526	497570312	180	0.9987555555555556
Chr6B	504669522	505691213	Chr6B	517281272	518291925	7	0.9997142857142858
Chr6B	524252260	629148387	Chr6B	536600563	641476927	649	0.9980323574730354
Chr6B	631157333	635284956	Chr6B	643458631	647585998	37	0.9994324324324324
Chr6B	638657051	731065543	Chr6B	651149081	748006491	926	0.9913347732181426
