gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Sumai3_tgt_chr	Sumai3_tgt_start	Sumai3_tgt_end	Sumai3_tgt_strand	Sumai3_tgt_midpoint	Sumai3_coverage	Sumai3_identity
gene:TraesCS1B03G0000800	Chr1B	705806	707489	+	706647	Chr1B	1515641	1517285	+	1516463	0.997	0.903
gene:TraesCS1B03G0001600	Chr1B	1190948	1191943	+	1191445	Chr1B	2257071	2258193	-	2257632	0.923	0.901
gene:TraesCS1B03G0002000	Chr1B	1195555	1199187	-	1197371	Chr1B	2251245	2254520	+	2252882	0.961	0.92
gene:TraesCS1B03G0002100	Chr1B	1200778	1204863	-	1202820	Chr1B	2245564	2249667	+	2247615	0.996	0.994
gene:TraesCS1B03G0002200	Chr1B	1237000	1244167	+	1240583	Chr1B	2166989	2174102	-	2170545	0.989	0.972
gene:TraesCS1B03G0002400	Chr1B	1247087	1248968	+	1248027	Chr1B	2162214	2164062	-	2163138	1.0	0.986
gene:TraesCS1B03G0002500	Chr1B	1254021	1254909	-	1254465	Chr1B	2156285	2157173	+	2156729	1.0	0.994
gene:TraesCS1B03G0002700	Chr1B	1268212	1281120	-	1274666	Chr1B	2132693	2145608	+	2139150	1.0	0.989
gene:TraesCS1B03G0003000	Chr1B	1404047	1406431	+	1405239	Chr1B	2029444	2031824	-	2030634	1.0	0.999
gene:TraesCS1B03G0003100	Chr1B	1407228	1410094	-	1408661	Chr1B	2025797	2028662	+	2027229	0.996	0.987
gene:TraesCS1B03G0003200	Chr1B	1411477	1414749	-	1413113	Chr1B	2021682	2024790	+	2023236	0.998	0.984
gene:TraesCS1B03G0003300	Chr1B	1417992	1424275	-	1421133	Chr1B	2012070	2018372	+	2015221	0.996	0.974
gene:TraesCS1B03G0003400	Chr1B	1457859	1460957	+	1459408	Chr1B	1975605	1978694	-	1977149	1.0	0.986
gene:TraesCS1B03G0003800	Chr1B	1509827	1521650	-	1515738	Chr1B	1838051	1849512	+	1843781	0.992	0.969
gene:TraesCS1B03G0005300	Chr1B	1804328	1805251	-	1804789	Chr1B	345067	345992	-	345529	1.0	0.968
