gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Sumai3_tgt_chr	Sumai3_tgt_start	Sumai3_tgt_end	Sumai3_tgt_strand	Sumai3_tgt_midpoint	Sumai3_coverage	Sumai3_identity
gene:TraesCS5D03G0000300	Chr5D	295745	301549	-	298647	Chr5D	538575	544375	-	541475	0.997	0.993
gene:TraesCS5D03G0000400	Chr5D	306801	310996	+	308898	Chr5D	549627	553822	+	551724	1.0	0.999
gene:TraesCS5D03G0000500	Chr5D	475881	477308	+	476594	Chr5D	717613	719040	+	718326	1.0	1.0
gene:TraesCS5D03G0000600	Chr5D	504194	504526	-	504360	Chr5D	959153	959485	-	959319	1.0	0.99
gene:TraesCS5D03G0000700	Chr5D	504194	504552	-	504373	Chr5D	959153	959511	-	959332	1.0	0.991
gene:TraesCS5D03G0000900	Chr5D	716462	716794	-	716628	Chr5D	745923	746255	-	746089	1.0	0.987
gene:TraesCS5D03G0001100	Chr5D	763156	767483	-	765319	Chr5D	1005835	1010180	-	1008007	0.995	0.995
gene:TraesCS5D03G0001300	Chr5D	929486	932500	+	930993	Chr5D	1171715	1174735	+	1173225	1.0	0.997
gene:TraesCS5D03G0001500	Chr5D	932731	938642	-	935686	Chr5D	1174966	1180877	-	1177921	1.0	1.0
gene:TraesCS5D03G0001700	Chr5D	1529495	1530538	+	1530016	Chr5D	1769234	1770277	+	1769755	1.0	1.0
gene:TraesCS5D03G0001900	Chr5D	1537103	1539147	-	1538125	Chr5D	1776842	1778886	-	1777864	1.0	0.992
gene:TraesCS5D03G0002100	Chr5D	1605131	1610309	+	1607720	Chr5D	1844875	1850053	+	1847464	1.0	1.0
gene:TraesCS5D03G0002300	Chr5D	1705168	1712206	-	1708687	Chr5D	1944703	1951741	-	1948222	1.0	1.0
gene:TraesCS5D03G0002500	Chr5D	1803394	1806327	+	1804860	Chr5D	2042937	2045870	+	2044403	1.0	1.0
gene:TraesCS5D03G0002700	Chr5D	1866423	1868501	+	1867462	Chr5D	2106007	2107711	+	2106859	1.0	1.0
gene:TraesCS5D03G0002900	Chr5D	1887729	1890428	-	1889078	Chr5D	2126324	2129023	-	2127673	1.0	1.0
gene:TraesCS5D03G0003000	Chr5D	2120086	2120451	-	2120268	Chr5D	2358577	2358942	-	2358759	1.0	1.0
gene:TraesCS5D03G0003100	Chr5D	2121153	2121944	+	2121548	Chr5D	2359644	2360435	+	2360039	1.0	1.0
gene:TraesCS5D03G0003200	Chr5D	2135387	2142134	+	2138760	Chr5D	2373884	2380631	+	2377257	1.0	1.0
gene:TraesCS5D03G0003400	Chr5D	2251213	2252857	-	2252035	Chr5D	2489768	2491412	-	2490590	1.0	1.0
gene:TraesCS5D03G0003500	Chr5D	2286363	2288714	+	2287538	Chr5D	2524939	2527292	+	2526115	1.0	1.0
gene:TraesCS5D03G0003600	Chr5D	2291637	2302490	+	2297063	Chr5D	2530215	2541075	+	2535645	1.0	0.995
gene:TraesCS5D03G0003700	Chr5D	2517220	2518242	-	2517731	Chr5D	2753916	2754938	-	2754427	1.0	0.999
gene:TraesCS5D03G0004200	Chr5D	2615885	2618789	+	2617337	Chr5D	2852346	2855250	+	2853798	1.0	0.999
