cs_chr	cs_start	cs_end	Sumai3_tgt_chr	Sumai3_tgt_start	Sumai3_tgt_end	n_anchors	mean_identity
Chr4D	410644	141272747	Chr4D	189286	143162418	1420	0.9993929577464788
Chr4D	143939177	159173700	Chr4D	145821742	161035064	18	0.9994999999999999
Chr4D	163710731	183649096	Chr4D	165574841	186100417	27	0.9997407407407408
Chr4D	188969484	192971731	Chr4D	193004239	196997747	6	0.9996666666666666
Chr4D	195239705	198785582	Chr4D	199266414	202801151	7	0.9997142857142858
Chr4D	201663396	203856600	Chr4D	206091175	210849087	5	1.0
Chr4D	206329885	212424003	Chr4D	213067272	218984948	20	0.9998500000000001
Chr4D	214566503	228344802	Chr4D	221115453	234863403	23	0.9987391304347826
Chr4D	230503918	238850566	Chr4D	237058497	245372625	11	0.9995454545454546
Chr4D	241150325	249170093	Chr4D	247662813	256524662	18	0.9994999999999999
Chr4D	251744642	256746015	Chr4D	259095064	264088906	7	0.9988571428571429
Chr4D	259082246	261473317	Chr4D	266410350	268810480	6	1.0
Chr4D	264155329	268258812	Chr4D	271489159	275572895	7	0.9982857142857142
Chr4D	270831155	284417863	Chr4D	278155663	291712604	19	0.9974736842105262
Chr4D	286726699	329466878	Chr4D	293994975	336933866	223	0.9992600896860987
Chr4D	331779306	375686787	Chr4D	339238924	383315720	302	0.9994768211920529
Chr4D	377775997	410310201	Chr4D	385410722	421145696	236	0.9996737288135593
Chr4D	412602740	507738213	Chr4D	423931457	521328967	1108	0.9991552346570396
Chr4D	511365075	514856841	Chr4D	525051390	528531615	26	0.9998461538461539
Chr4D	507913039	509950584	Chr4D	530614206	532394950	51	0.9975686274509805
