cs_chr	cs_start	cs_end	Sumai3_tgt_chr	Sumai3_tgt_start	Sumai3_tgt_end	n_anchors	mean_identity
Chr5B	3294269	3617069	Chr5B	5533176	5854386	6	0.9998333333333332
Chr5B	4224347	4746234	Chr5B	134777	867343	9	0.9995555555555556
Chr5B	18593	2729010	Chr5B	3577372	7057565	15	0.9936666666666666
Chr5B	6276500	150623157	Chr5B	9391512	160442549	943	0.9959119830328738
Chr5B	153027140	156551532	Chr5B	162814613	168910165	8	0.998875
Chr5B	158568371	169148558	Chr5B	170707475	181146035	18	0.9971666666666668
Chr5B	193712534	194129805	Chr5B	206013020	206441052	3	0.9986666666666667
Chr5B	206148489	210800536	Chr5B	218572116	223219493	10	0.9984000000000002
Chr5B	222313523	239465934	Chr5B	240769746	258222991	69	0.997840579710145
Chr5B	241488361	344742710	Chr5B	260022868	363296590	581	0.9982564543889845
Chr5B	346985936	415604247	Chr5B	365518885	434290433	419	0.9970835322195705
Chr5B	417734794	714671459	Chr5B	434750030	737468879	3123	0.9959650976625041
